,Frequency,Signal Run 0,Background Run 0
0,3.08,1.2563423040934167,1.1910912459685414
1,3.0807,1.208984051556392,1.1810827566169908
2,3.0814,1.2318892221568554,1.1796710005951714
3,3.0821,1.1993884586912549,1.1921734860155204
4,3.0828,1.2107930888130323,1.1906508601272394
5,3.0835,1.2076441372131208,1.2022478801920962
6,3.0842,1.204125657316018,1.2100216251082936
7,3.0849,1.1621436383780184,1.1921600625968194
8,3.0856,1.2299539781835689,1.1690750006922668
9,3.0863,1.19834494729198,1.1950738514650001
10,3.087,1.1655690363157738,1.2034906726654344
11,3.0877,1.2307716598520346,1.2035178437050427
12,3.0884,1.1906696016684646,1.180332827885361
13,3.0891,1.201080377541164,1.1541784528370902
14,3.0898,1.2065037888638876,1.184754567423204
15,3.0905,1.203743368460005,1.2007012171677485
16,3.0912,1.2153719445341853,1.211228175999907
17,3.0919,1.2195516143738974,1.2278625781466594
18,3.0926,1.2294879724528778,1.2429380837650086
19,3.0933,1.1912552414997613,1.255878173027957
20,3.094,1.2300270638998654,1.2007855531494351
21,3.0947,1.2342570270948439,1.198356813925821
22,3.0954,1.2164123384824264,1.1676626210142536
23,3.0961,0.0,0.0
24,3.0968,0.0,0.0
25,3.0975,0.0,0.0
26,3.0982,0.0,0.0
27,3.0989,0.0,0.0
28,3.0996,0.0,0.0
29,3.1003,0.0,0.0
30,3.101,0.0,0.0
31,3.1017,0.0,0.0
32,3.1024,0.0,0.0
33,3.1031,0.0,0.0
34,3.1038,0.0,0.0
35,3.1045,0.0,0.0
36,3.1052,0.0,0.0
37,3.1059,0.0,0.0
38,3.1066,0.0,0.0
39,3.1073,0.0,0.0
40,3.108,0.0,0.0
41,3.1087,0.0,0.0
42,3.1094,0.0,0.0
43,3.1101,0.0,0.0
44,3.1108,0.0,0.0
45,3.1115,0.0,0.0
46,3.1122,0.0,0.0
47,3.1129,0.0,0.0
48,3.1136,0.0,0.0
49,3.1143,0.0,0.0
50,3.115,0.0,0.0
51,3.1157,0.0,0.0
52,3.1164,0.0,0.0
53,3.1170999999999998,0.0,0.0
54,3.1178,0.0,0.0
55,3.1185,0.0,0.0
56,3.1192,0.0,0.0
57,3.1199,0.0,0.0
58,3.1206,0.0,0.0
59,3.1213,0.0,0.0
60,3.122,0.0,0.0
61,3.1227,0.0,0.0
62,3.1234,0.0,0.0
63,3.1241,0.0,0.0
64,3.1248,0.0,0.0
65,3.1255,0.0,0.0
66,3.1262,0.0,0.0
67,3.1269,0.0,0.0
68,3.1276,0.0,0.0
69,3.1283,0.0,0.0
70,3.129,0.0,0.0
71,3.1297,0.0,0.0
72,3.1304,0.0,0.0
73,3.1311,0.0,0.0
74,3.1318,0.0,0.0
75,3.1325,0.0,0.0
76,3.1332,0.0,0.0
77,3.1339,0.0,0.0
78,3.1346,0.0,0.0
79,3.1353,0.0,0.0
80,3.136,0.0,0.0
81,3.1367,0.0,0.0
82,3.1374,0.0,0.0
83,3.1381,0.0,0.0
84,3.1388,0.0,0.0
85,3.1395,0.0,0.0
86,3.1402,0.0,0.0
87,3.1409,0.0,0.0
88,3.1416,0.0,0.0
89,3.1423,0.0,0.0
90,3.143,0.0,0.0
91,3.1437,0.0,0.0
92,3.1444,0.0,0.0
93,3.1451,0.0,0.0
94,3.1458,0.0,0.0
95,3.1465,0.0,0.0
96,3.1471999999999998,0.0,0.0
97,3.1479,0.0,0.0
98,3.1486,0.0,0.0
99,3.1492999999999998,0.0,0.0
100,3.15,0.0,0.0
