,Frequency
0,3.5
1,3.5015
2,3.503
3,3.5045
4,3.506
5,3.5075
6,3.509
7,3.5105
8,3.512
9,3.5135
10,3.515
11,3.5165
12,3.518
13,3.5195
14,3.521
15,3.5225
16,3.524
17,3.5255
18,3.527
19,3.5285
20,3.53
21,3.5315
22,3.533
23,3.5345
24,3.536
25,3.5375
26,3.539
27,3.5404999999999998
28,3.542
29,3.5435
30,3.545
31,3.5465
32,3.548
33,3.5495
34,3.551
35,3.5524999999999998
36,3.554
37,3.5555
38,3.557
39,3.5585
40,3.56
41,3.5615
42,3.563
43,3.5645
44,3.566
45,3.5675
46,3.569
47,3.5705
48,3.572
49,3.5735
50,3.575
51,3.5765
52,3.578
53,3.5795
54,3.581
55,3.5825
56,3.584
57,3.5855
58,3.5869999999999997
59,3.5885
60,3.59
61,3.5915
62,3.593
63,3.5945
64,3.596
65,3.5975
66,3.5989999999999998
67,3.6005
68,3.602
69,3.6035
70,3.605
71,3.6065
72,3.608
73,3.6095
74,3.6109999999999998
75,3.6125
76,3.614
77,3.6155
78,3.617
79,3.6185
80,3.62
81,3.6214999999999997
82,3.6229999999999998
83,3.6245
84,3.626
85,3.6275
86,3.629
87,3.6305
88,3.632
89,3.6334999999999997
90,3.635
91,3.6365
92,3.638
93,3.6395
94,3.641
95,3.6425
96,3.644
97,3.6454999999999997
98,3.647
99,3.6485
100,3.65
