,Duration
0,5.0
1,6.95
2,8.9
3,10.85
4,12.8
5,14.75
6,16.7
7,18.65
8,20.6
9,22.55
10,24.5
11,26.45
12,28.4
13,30.349999999999998
14,32.3
15,34.25
16,36.2
17,38.15
18,40.1
19,42.05
20,44.0
21,45.949999999999996
22,47.9
23,49.85
24,51.8
25,53.75
26,55.699999999999996
27,57.65
28,59.6
29,61.55
30,63.5
31,65.44999999999999
32,67.4
33,69.35
34,71.3
35,73.25
36,75.2
37,77.14999999999999
38,79.1
39,81.05
40,83.0
41,84.95
42,86.89999999999999
43,88.85
44,90.8
45,92.75
46,94.7
47,96.64999999999999
48,98.6
49,100.55
50,102.5
51,104.45
52,106.39999999999999
53,108.35
54,110.3
55,112.25
56,114.2
57,116.14999999999999
58,118.1
59,120.05
60,122.0
61,123.95
62,125.89999999999999
63,127.85
64,129.8
65,131.75
66,133.7
67,135.65
68,137.6
69,139.54999999999998
70,141.5
71,143.45
72,145.4
73,147.35
74,149.29999999999998
75,151.25
76,153.2
77,155.15
78,157.1
79,159.04999999999998
80,161.0
81,162.95
82,164.9
83,166.85
84,168.79999999999998
85,170.75
86,172.7
87,174.65
88,176.6
89,178.54999999999998
90,180.5
91,182.45
92,184.4
93,186.35
94,188.29999999999998
95,190.25
96,192.2
97,194.15
98,196.1
99,198.04999999999998
100,200.0
