,Duration
0,20.0
1,21.8
2,23.6
3,25.4
4,27.2
5,29.0
6,30.8
7,32.6
8,34.4
9,36.2
10,38.0
11,39.8
12,41.6
13,43.400000000000006
14,45.2
15,47.0
16,48.8
17,50.6
18,52.4
19,54.2
20,56.0
21,57.800000000000004
22,59.6
23,61.4
24,63.2
25,65.0
26,66.80000000000001
27,68.6
28,70.4
29,72.2
30,74.0
31,75.80000000000001
32,77.6
33,79.4
34,81.2
35,83.0
36,84.8
37,86.60000000000001
38,88.4
39,90.2
40,92.0
41,93.8
42,95.60000000000001
43,97.4
44,99.2
45,101.0
46,102.8
47,104.60000000000001
48,106.4
49,108.2
50,110.0
51,111.8
52,113.60000000000001
53,115.4
54,117.2
55,119.0
56,120.8
57,122.60000000000001
58,124.4
59,126.2
60,128.0
61,129.8
62,131.60000000000002
63,133.4
64,135.2
65,137.0
66,138.8
67,140.60000000000002
68,142.4
69,144.2
70,146.0
71,147.8
72,149.6
73,151.4
74,153.20000000000002
75,155.0
76,156.8
77,158.6
78,160.4
79,162.20000000000002
80,164.0
81,165.8
82,167.6
83,169.4
84,171.20000000000002
85,173.0
86,174.8
87,176.6
88,178.4
89,180.20000000000002
90,182.0
91,183.8
92,185.6
93,187.4
94,189.20000000000002
95,191.0
96,192.8
97,194.6
98,196.4
99,198.20000000000002
100,200.0
