,Frequency,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2
0,2.7,0.008,0.01,0.003,0.009,0.01,0.01
1,2.706,0.007,0.006,0.008,0.008,0.016,0.004
2,2.712,0.012,0.005,0.01,0.011,0.005,0.005
3,2.718,0.007,0.007,0.004,0.006,0.004,0.01
4,2.724,0.01,0.012,0.008,0.009,0.004,0.004
5,2.73,0.007,0.008,0.007,0.006,0.001,0.009
6,2.736,0.011,0.01,0.004,0.004,0.009,0.007
7,2.742,0.01,0.008,0.004,0.007,0.005,0.01
8,2.748,0.005,0.009,0.007,0.005,0.007,0.004
9,2.754,0.007,0.007,0.009,0.005,0.006,0.006
10,2.7600000000000002,0.005,0.007,0.009,0.006,0.008,0.006
11,2.766,0.014,0.012,0.001,0.013,0.006,0.007
12,2.7720000000000002,0.011,0.009,0.012,0.011,0.008,0.006
13,2.778,0.01,0.01,0.009,0.01,0.006,0.005
14,2.7840000000000003,0.009,0.007,0.006,0.005,0.003,0.008
15,2.79,0.004,0.007,0.005,0.004,0.007,0.003
16,2.7960000000000003,0.009,0.006,0.007,0.011,0.007,0.008
17,2.802,0.011,0.011,0.006,0.009,0.003,0.002
18,2.8080000000000003,0.007,0.003,0.008,0.007,0.004,0.004
19,2.814,0.006,0.007,0.01,0.004,0.006,0.007
20,2.8200000000000003,0.009,0.01,0.006,0.008,0.009,0.007
21,2.826,0.007,0.013,0.0,0.008,0.007,0.005
22,2.8320000000000003,0.005,0.004,0.005,0.007,0.011,0.009
23,2.838,0.005,0.005,0.011,0.008,0.003,0.008
24,2.8440000000000003,0.003,0.006,0.006,0.008,0.007,0.008
25,2.85,0.009,0.004,0.008,0.004,0.007,0.003
26,2.856,0.007,0.011,0.006,0.007,0.004,0.005
27,2.862,0.012,0.011,0.006,0.009,0.008,0.003
28,2.868,0.008,0.009,0.007,0.003,0.007,0.007
29,2.874,0.012,0.008,0.002,0.004,0.014,0.005
30,2.88,0.013,0.01,0.014,0.006,0.011,0.006
31,2.886,0.007,0.004,0.008,0.008,0.004,0.01
32,2.892,0.012,0.004,0.005,0.007,0.005,0.005
33,2.898,0.011,0.006,0.004,0.008,0.004,0.002
34,2.904,0.01,0.003,0.007,0.005,0.01,0.003
35,2.91,0.012,0.008,0.009,0.008,0.007,0.007
36,2.916,0.01,0.01,0.009,0.011,0.008,0.007
37,2.922,0.013,0.012,0.003,0.007,0.006,0.008
