,Frequency,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1
0,3.0,0.026,0.034,0.016,0.029
1,3.003,0.009,0.022,0.023,0.019
2,3.006,0.023,0.023,0.016,0.023
3,3.009,0.026,0.033,0.029,0.015
4,3.012,0.032,0.029,0.025,0.023
5,3.015,0.029,0.037,0.028,0.028
6,3.018,0.031,0.024,0.018,0.027
7,3.021,0.023,0.026,0.025,0.017
8,3.024,0.033,0.026,0.03,0.032
9,3.027,0.025,0.014,0.036,0.03
10,3.03,0.025,0.023,0.026,0.022
11,3.033,0.025,0.03,0.024,0.025
12,3.036,0.036,0.025,0.023,0.026
13,3.039,0.026,0.03,0.028,0.036
14,3.042,0.035,0.026,0.027,0.026
15,3.045,0.02,0.023,0.023,0.029
16,3.048,0.025,0.021,0.025,0.029
17,3.051,0.024,0.02,0.023,0.02
18,3.054,0.018,0.028,0.026,0.024
19,3.057,0.007,0.012,0.024,0.027
20,3.06,0.027,0.036,0.027,0.036
21,3.063,0.028,0.017,0.028,0.017
22,3.066,0.023,0.036,0.023,0.036
23,3.069,0.029,0.029,0.029,0.029
24,3.072,0.027,0.019,0.027,0.019
25,3.075,0.026,0.024,0.026,0.024
26,3.078,0.028,0.023,0.028,0.023
27,3.081,0.023,0.029,0.023,0.029
28,3.084,0.016,0.017,0.016,0.017
29,3.0869999999999997,0.026,0.026,0.026,0.026
30,3.09,0.039,0.022,0.039,0.022
31,3.093,0.021,0.027,0.021,0.027
32,3.096,0.03,0.033,0.03,0.033
33,3.0989999999999998,0.02,0.018,0.02,0.018
34,3.102,0.017,0.025,0.017,0.025
35,3.105,0.03,0.024,0.03,0.024
36,3.108,0.02,0.043,0.02,0.043
37,3.1109999999999998,0.035,0.029,0.035,0.029
38,3.114,0.027,0.025,0.027,0.025
39,3.117,0.026,0.026,0.026,0.026
40,3.12,0.036,0.029,0.036,0.029
41,3.1229999999999998,0.031,0.019,0.031,0.019
42,3.126,0.03,0.028,0.03,0.028
43,3.129,0.033,0.021,0.033,0.021
44,3.132,0.028,0.025,0.028,0.025
45,3.135,0.029,0.024,0.029,0.024
46,3.138,0.023,0.028,0.023,0.028
47,3.141,0.036,0.029,0.036,0.029
48,3.144,0.038,0.03,0.038,0.03
49,3.147,0.032,0.037,0.032,0.037
50,3.15,0.028,0.026,0.028,0.026
51,3.153,0.023,0.022,0.023,0.022
52,3.1559999999999997,0.027,0.024,0.027,0.024
53,3.159,0.026,0.033,0.026,0.033
54,3.162,0.019,0.026,0.019,0.026
55,3.165,0.026,0.03,0.026,0.03
56,3.1679999999999997,0.028,0.031,0.028,0.031
57,3.171,0.027,0.031,0.027,0.031
58,3.174,0.022,0.032,0.022,0.032
59,3.177,0.019,0.035,0.019,0.035
60,3.1799999999999997,0.019,0.027,0.019,0.027
61,3.183,0.029,0.034,0.029,0.034
62,3.186,0.026,0.029,0.026,0.029
63,3.189,0.022,0.031,0.022,0.031
64,3.1919999999999997,0.021,0.028,0.021,0.028
65,3.195,0.018,0.035,0.018,0.035
66,3.198,0.026,0.032,0.026,0.032
67,3.201,0.014,0.013,0.014,0.013
68,3.2039999999999997,0.031,0.027,0.031,0.027
69,3.207,0.03,0.028,0.03,0.028
70,3.21,0.038,0.037,0.038,0.037
71,3.213,0.032,0.031,0.032,0.031
72,3.2159999999999997,0.023,0.023,0.023,0.023
73,3.219,0.03,0.024,0.03,0.024
74,3.222,0.029,0.022,0.029,0.022
75,3.2249999999999996,0.021,0.038,0.021,0.038
76,3.2279999999999998,0.027,0.025,0.027,0.025
77,3.231,0.027,0.023,0.027,0.023
78,3.234,0.027,0.014,0.027,0.014
79,3.237,0.042,0.034,0.042,0.034
80,3.2399999999999998,0.029,0.029,0.029,0.029
81,3.243,0.018,0.008,0.018,0.008
82,3.246,0.02,0.015,0.02,0.015
83,3.2489999999999997,0.026,0.029,0.026,0.029
84,3.252,0.027,0.021,0.027,0.021
85,3.255,0.024,0.026,0.024,0.026
86,3.258,0.032,0.034,0.032,0.034
87,3.2609999999999997,0.026,0.034,0.026,0.034
88,3.264,0.036,0.035,0.036,0.035
89,3.267,0.039,0.027,0.039,0.027
90,3.27,0.029,0.019,0.029,0.019
91,3.2729999999999997,0.02,0.029,0.02,0.029
92,3.276,0.041,0.041,0.041,0.041
93,3.279,0.162,0.173,0.162,0.173
94,3.282,0.196,0.198,0.196,0.198
95,3.2849999999999997,0.012,0.013,0.012,0.013
96,3.288,0.018,0.024,0.018,0.024
97,3.291,0.005,0.006,0.005,0.006
98,3.2939999999999996,0.004,0.004,0.004,0.004
99,3.2969999999999997,0.015,0.009,0.015,0.009
100,3.3,0.012,0.014,0.012,0.014
