,Frequency
0,3.08
1,3.0807
2,3.0814
3,3.0821
4,3.0828
5,3.0835
6,3.0842
7,3.0849
8,3.0856
9,3.0863
10,3.087
11,3.0877
12,3.0884
13,3.0891
14,3.0898
15,3.0905
16,3.0912
17,3.0919
18,3.0926
19,3.0933
20,3.094
21,3.0947
22,3.0954
23,3.0961
24,3.0968
25,3.0975
26,3.0982
27,3.0989
28,3.0996
29,3.1003
30,3.101
31,3.1017
32,3.1024
33,3.1031
34,3.1038
35,3.1045
36,3.1052
37,3.1059
38,3.1066
39,3.1073
40,3.108
41,3.1087
42,3.1094
43,3.1101
44,3.1108
45,3.1115
46,3.1122
47,3.1129
48,3.1136
49,3.1143
50,3.115
51,3.1157
52,3.1164
53,3.1170999999999998
54,3.1178
55,3.1185
56,3.1192
57,3.1199
58,3.1206
59,3.1213
60,3.122
61,3.1227
62,3.1234
63,3.1241
64,3.1248
65,3.1255
66,3.1262
67,3.1269
68,3.1276
69,3.1283
70,3.129
71,3.1297
72,3.1304
73,3.1311
74,3.1318
75,3.1325
76,3.1332
77,3.1339
78,3.1346
79,3.1353
80,3.136
81,3.1367
82,3.1374
83,3.1381
84,3.1388
85,3.1395
86,3.1402
87,3.1409
88,3.1416
89,3.1423
90,3.143
91,3.1437
92,3.1444
93,3.1451
94,3.1458
95,3.1465
96,3.1471999999999998
97,3.1479
98,3.1486
99,3.1492999999999998
100,3.15
