,Frequency
0,3.088
1,3.08812
2,3.08824
3,3.08836
4,3.08848
5,3.0886
6,3.08872
7,3.0888400000000003
8,3.08896
9,3.08908
10,3.0892
11,3.0893200000000003
12,3.08944
13,3.08956
14,3.08968
15,3.0898
16,3.08992
17,3.09004
18,3.09016
19,3.09028
20,3.0904000000000003
21,3.09052
22,3.09064
23,3.09076
24,3.0908800000000003
25,3.091
26,3.09112
27,3.09124
28,3.09136
29,3.0914800000000002
30,3.0916
31,3.09172
32,3.09184
33,3.0919600000000003
34,3.09208
35,3.0922
36,3.09232
37,3.0924400000000003
38,3.09256
39,3.09268
40,3.0928
41,3.09292
42,3.0930400000000002
43,3.09316
44,3.09328
45,3.0934
46,3.0935200000000003
47,3.09364
48,3.09376
49,3.09388
50,3.0940000000000003
51,3.09412
52,3.09424
53,3.09436
54,3.09448
55,3.0946000000000002
56,3.09472
57,3.09484
58,3.09496
59,3.0950800000000003
60,3.0952
61,3.09532
62,3.09544
63,3.09556
64,3.09568
65,3.0958
66,3.09592
67,3.09604
68,3.0961600000000002
69,3.09628
70,3.0964
71,3.09652
72,3.0966400000000003
73,3.09676
74,3.09688
75,3.097
76,3.09712
77,3.09724
78,3.09736
79,3.09748
80,3.0976
81,3.0977200000000003
82,3.09784
83,3.09796
84,3.09808
85,3.0982000000000003
86,3.09832
87,3.09844
88,3.09856
89,3.09868
90,3.0988
91,3.09892
92,3.09904
93,3.09916
94,3.0992800000000003
95,3.0994
96,3.09952
97,3.09964
98,3.0997600000000003
99,3.09988
100,3.1
