,Frequency,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3
0,2.6,742.9153,773.2398,742.4847,769.8238,742.0618,773.9333,737.1129,770.22
1,2.608,727.1548,767.4316,738.4141,771.541,741.3138,772.5922,740.1917,770.6292
2,2.616,738.5857,772.3393,742.0781,773.358,736.0991,764.1452,735.4813,767.2028
3,2.624,740.7766,774.3616,740.501,776.7026,737.1235,770.6329,738.6148,767.3259
4,2.632,739.6136,770.0893,743.7794,773.1185,740.6013,768.9766,738.8849,769.0061
5,2.64,739.6086,768.4549,740.8006,771.3575,736.7829,769.8433,735.5174,761.8736
6,2.648,735.2169,771.5737,740.9435,771.9244,734.5069,764.422,737.9415,770.8083
7,2.656,732.9498,767.7837,740.0773,771.4497,734.1655,765.0679,739.5049,769.178
8,2.664,747.0958,775.2091,737.5231,771.8255,736.7793,771.6594,737.2897,768.3903
9,2.672,741.6932,773.9064,736.1853,764.6097,736.2262,768.7158,739.3027,768.1311
10,2.68,739.8849,771.1338,732.2983,764.9374,740.2937,773.1197,736.5923,768.3568
11,2.688,734.8572,765.8327,738.6227,772.9937,739.7057,770.3832,731.3939,759.724
12,2.696,734.1482,765.9632,736.1367,765.9912,737.5678,767.5276,734.1722,765.5591
13,2.704,732.2468,766.7845,734.5562,765.1755,737.2448,769.2311,736.7286,765.8215
14,2.712,731.4701,766.3082,733.9389,772.039,728.333,762.0103,736.3163,768.2265
15,2.72,731.3347,765.7565,733.0235,763.1747,731.5109,764.1329,734.3644,766.2586
16,2.728,734.5009,771.3233,734.1244,767.787,733.3288,765.4011,731.766,764.9848
17,2.736,731.1419,757.9861,733.0558,763.2305,736.0201,765.6373,733.6284,764.8755
18,2.744,722.5441,760.7802,730.943,763.2975,730.9436,759.2756,729.021,759.488
19,2.7520000000000002,740.3066,767.8649,728.0089,758.6121,729.8745,761.8452,730.4393,759.7515
20,2.7600000000000002,738.9655,769.8399,729.9028,762.6139,731.7902,761.3306,731.881,761.7034
21,2.7680000000000002,728.7948,766.1624,731.1502,761.9418,728.5489,757.8199,730.6783,762.5225
22,2.7760000000000002,729.7091,765.8729,725.2647,757.4816,724.5686,760.6287,730.3512,761.456
23,2.7840000000000003,727.7794,758.143,723.2878,756.5258,724.2317,758.2883,730.1886,760.6731
24,2.792,731.2407,756.9094,727.842,756.5023,724.0884,747.3772,724.268,754.923
25,2.8,728.3538,756.3493,729.796,765.4006,732.711,763.9323,729.251,763.1591
26,2.808,734.7244,765.5162,733.4344,764.4987,726.189,756.211,725.8786,759.4989
27,2.816,730.6665,761.198,730.531,761.345,729.8062,757.3266,731.177,761.8218
28,2.824,730.9563,767.4438,732.9188,762.2489,724.086,755.1623,729.5737,758.3366
29,2.832,728.2028,767.8924,720.9735,749.5829,707.3598,765.5739,726.2335,759.6778
30,2.84,728.0015,760.6052,727.7797,758.0617,728.2298,759.1828,730.7563,761.0896
31,2.848,729.2194,753.8359,725.9605,755.914,724.7734,759.3165,727.1613,757.5818
32,2.856,732.4077,765.1241,729.7443,762.9594,729.6024,759.0253,727.7486,757.9044
33,2.864,731.9583,762.3475,731.3183,762.1067,725.0865,760.8858,731.445,761.6044
34,2.872,731.4741,761.9541,730.3166,759.9738,732.9435,762.1293,728.3474,760.3133
35,2.88,731.0797,755.2226,730.5929,760.7777,728.0762,757.828,725.1566,761.1726
36,2.888,734.5549,769.7823,733.3793,763.5753,732.9402,758.9516,732.804,764.0836
37,2.896,734.606,766.5487,733.9892,762.5843,724.7967,758.3564,731.713,764.1707
38,2.904,735.122,766.2609,730.3504,760.6303,719.8708,746.7324,733.0134,763.0809
39,2.912,725.1831,754.4265,732.9307,763.6976,728.7806,761.5161,733.0987,762.6507
40,2.92,731.6794,765.8083,732.8435,763.0331,731.0013,759.4243,734.7137,763.8222
41,2.928,735.3018,769.0405,738.5039,769.3372,722.6477,758.0792,733.5349,762.2133
42,2.936,731.2042,767.2741,734.8243,764.6404,726.8728,757.2567,728.847,760.7533
43,2.944,735.2995,762.5206,734.342,766.787,730.4146,763.8439,733.0081,762.8641
44,2.952,733.9763,767.0659,734.8536,764.8493,729.4485,761.3407,733.194,763.844
45,2.96,729.751,761.0688,737.7445,765.7725,727.5998,759.3956,731.7623,761.0545
46,2.968,733.7067,765.9201,734.9202,767.0172,725.2668,753.4477,734.6271,764.6592
47,2.976,735.1055,764.2149,735.3744,764.8996,738.1881,768.1708,730.3826,758.2073
48,2.984,733.014,761.752,731.2455,759.0377,736.388,766.567,735.4032,762.2821
49,2.992,732.481,757.191,728.674,758.3861,736.4217,765.7628,731.1029,761.8114
50,3.0,729.1522,756.4015,736.9973,767.0516,734.7487,765.1961,728.7705,760.1116
51,3.008,735.8933,763.9097,736.0219,766.0388,734.266,764.597,730.6892,766.3688
52,3.016,741.4798,769.747,736.7354,766.9807,729.0033,756.261,732.1066,764.4459
53,3.024,732.0424,769.0986,735.4729,767.6472,733.5253,768.2471,731.1082,762.2819
54,3.032,730.7531,764.2015,732.6952,765.2411,733.6762,766.6315,733.6256,765.3758
55,3.04,737.708,767.2313,734.9694,767.2429,734.0576,760.9813,730.2585,763.5794
56,3.048,733.2003,762.4746,738.0328,770.4837,730.0472,764.8048,730.3336,764.8386
57,3.056,721.7436,751.4672,738.0139,767.9162,721.7567,759.3518,734.4144,764.855
58,3.064,732.9275,762.024,732.6987,762.8641,733.2058,763.1886,734.7185,766.9427
59,3.072,734.6001,765.0669,722.3389,755.0107,720.5678,763.9431,737.536,767.5375
