,Frequency,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3,Signal Run 4,Background Run 4,Signal Run 5,Background Run 5,Signal Run 6,Background Run 6,Signal Run 7,Background Run 7,Signal Run 8,Background Run 8,Signal Run 9,Background Run 9,Signal Run 10,Background Run 10,Signal Run 11,Background Run 11,Signal Run 12,Background Run 12,Signal Run 13,Background Run 13,Signal Run 14,Background Run 14,Signal Run 15,Background Run 15,Signal Run 16,Background Run 16,Signal Run 17,Background Run 17,Signal Run 18,Background Run 18,Signal Run 19,Background Run 19,Signal Run 20,Background Run 20,Signal Run 21,Background Run 21,Signal Run 22,Background Run 22,Signal Run 23,Background Run 23,Signal Run 24,Background Run 24
0,2.8,38.08,38.676,38.506,40.22,35.593,36.411,37.76,39.598,31.21,30.375,34.709,36.377,38.388,40.089,38.155,38.954,36.123,38.739,36.008,39.508,35.897,37.453,36.005,36.928,35.974,36.886,37.475,38.945,36.758,39.982,35.544,36.804,34.62,37.523,36.988,37.876,35.416,36.325,35.859,37.208,35.536,35.672,35.392,38.123,34.431,35.923,36.455,37.993,34.682,35.518
1,2.8026666666666666,38.132,38.572,37.807,40.844,37.829,38.015,38.829,39.942,39.019,40.827,32.057,32.121,38.069,40.147,39.062,36.939,36.698,38.017,37.681,38.593,37.182,39.009,37.46,39.082,38.537,40.153,34.445,35.657,35.71,39.678,35.931,38.248,38.116,40.942,35.089,36.779,36.664,37.07,34.726,36.269,35.512,36.732,31.62,34.855,36.022,38.888,36.037,37.019,36.292,38.972
2,2.805333333333333,37.543,40.891,36.54,38.839,40.598,41.616,37.811,39.364,35.244,36.814,36.606,36.247,37.013,38.064,37.184,39.926,35.845,38.162,36.957,38.732,36.627,37.589,33.071,33.61,37.715,37.308,37.839,37.605,35.743,38.323,36.927,37.723,35.965,38.684,35.887,36.672,35.559,36.753,35.273,36.745,35.744,38.59,36.838,37.853,35.253,38.375,35.007,36.838,35.84,38.868
3,2.808,37.518,41.192,38.941,42.108,42.802,43.909,34.946,36.806,38.224,39.187,35.98,39.927,36.193,36.814,37.41,36.592,37.728,40.711,33.78,34.318,34.639,34.838,35.398,38.284,36.574,37.551,37.356,38.565,34.558,36.797,37.194,39.368,36.754,36.777,37.407,41.136,34.628,37.924,36.88,38.211,37.088,39.046,36.291,36.903,36.795,36.69,35.187,37.68,36.432,39.205
4,2.8106666666666666,37.626,39.365,36.841,40.255,39.217,39.791,37.601,38.607,34.272,37.1,34.546,34.434,36.846,37.831,37.041,38.684,36.557,38.837,38.802,38.882,35.267,38.898,35.038,35.352,34.071,34.937,36.658,39.46,36.517,36.924,37.004,39.246,37.185,36.852,36.056,38.023,37.455,39.83,36.052,39.445,35.165,36.354,36.174,38.95,35.601,37.233,37.171,38.828,36.828,38.579
5,2.813333333333333,36.049,38.699,35.907,36.558,36.394,38.448,37.292,39.527,34.291,37.127,31.793,33.41,36.832,39.084,36.399,38.189,36.806,39.202,37.186,38.121,35.073,37.591,33.178,34.689,36.994,40.099,36.756,37.654,36.541,38.784,37.407,39.664,34.655,35.906,35.762,37.603,41.479,44.642,34.534,36.593,34.498,37.841,36.075,37.687,34.669,36.684,37.394,39.89,34.927,39.074
6,2.816,35.924,37.566,36.54,39.412,36.689,38.238,35.362,37.969,36.1,36.868,39.393,40.85,38.168,39.756,37.978,40.409,37.524,39.621,37.421,38.77,37.947,39.061,34.887,37.396,38.241,38.928,36.481,37.632,36.359,39.625,36.894,36.539,38.499,40.201,36.195,37.909,38.392,40.257,33.423,34.14,36.784,36.857,35.335,37.344,36.351,36.929,36.401,38.318,35.16,37.273
7,2.8186666666666667,36.485,39.351,36.391,40.068,37.499,38.767,37.892,40.485,37.366,39.843,38.303,41.215,37.072,38.148,37.759,41.084,36.985,39.274,35.031,36.894,33.721,36.254,36.4,37.568,37.207,36.701,37.128,37.962,36.335,38.809,37.016,37.947,37.904,39.687,37.176,40.141,37.251,38.517,33.82,38.434,35.564,38.297,37.256,37.854,34.996,38.946,36.383,39.014,36.624,38.219
8,2.821333333333333,38.188,40.436,37.564,40.133,37.769,39.403,35.263,37.334,36.079,39.49,38.48,40.213,36.387,39.28,35.866,35.334,37.199,36.539,36.833,38.311,36.721,38.372,36.803,39.005,37.282,39.721,37.17,38.665,36.093,37.477,35.459,36.591,36.043,38.977,37.426,38.431,35.34,36.1,36.487,39.573,35.195,37.871,35.481,37.694,34.346,38.046,35.935,36.249,35.601,36.111
9,2.824,33.85,34.425,37.458,40.257,37.254,38.425,39.412,40.019,38.028,41.187,37.726,38.616,37.322,39.838,36.541,38.949,36.298,36.364,36.568,37.856,37.874,41.022,34.703,38.434,36.266,38.945,35.736,36.092,35.588,37.811,35.175,37.737,35.956,36.056,35.956,36.114,38.637,39.734,37.608,39.29,36.142,37.322,36.946,38.501,36.655,38.785,35.858,38.655,36.242,38.018
10,2.8266666666666667,37.166,38.15,37.366,37.113,39.047,37.994,37.102,39.303,35.637,39.228,39.777,39.474,36.347,38.457,37.018,39.01,36.165,35.871,37.614,38.556,37.04,39.408,34.696,36.601,37.191,38.573,36.685,37.693,35.444,37.593,36.055,38.544,39.794,38.97,36.257,38.1,34.1,37.709,37.973,38.874,36.69,38.133,36.12,36.963,36.926,38.273,35.969,37.292,36.914,40.039
11,2.829333333333333,39.424,40.464,39.893,39.556,36.69,40.862,36.018,37.246,37.421,39.242,36.272,36.729,36.301,38.821,36.563,37.987,36.951,36.836,37.174,38.277,34.609,36.583,37.561,38.835,38.703,38.496,36.91,38.327,35.249,38.561,36.439,36.852,34.242,36.646,38.196,39.194,32.598,34.689,37.514,39.81,35.8,35.577,35.882,35.819,35.614,37.746,35.371,38.482,36.264,36.309
12,2.832,35.077,38.359,38.816,38.473,35.904,38.338,36.565,40.091,38.855,41.3,39.034,41.974,36.158,36.876,36.742,36.945,35.045,37.717,38.395,38.431,36.75,38.5,35.467,36.829,36.792,37.65,38.159,41.282,36.174,39.191,38.093,38.093,27.338,27.742,35.354,37.742,38.059,38.81,36.394,36.835,36.393,38.046,35.621,37.421,35.383,36.992,35.478,36.607,34.64,38.66
