,Frequency,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1
0,2.8,2088.814,2089.067,1980.34,1980.56
1,2.8009999999999997,2145.292,2145.553,2036.179,2036.417
2,2.802,2140.431,2140.662,2045.707,2045.949
3,2.803,2051.564,2051.842,2093.23,2093.475
4,2.804,2214.727,2214.978,2059.506,2059.758
5,2.8049999999999997,2041.311,2041.552,2075.02,2075.277
6,2.806,2099.446,2099.708,2179.065,2179.311
7,2.807,2121.853,2122.1,2198.292,2198.556
8,2.808,2098.013,2098.273,2201.155,2201.427
9,2.8089999999999997,2127.572,2127.82,2106.732,2106.994
10,2.81,2114.313,2114.559,2002.577,2002.801
11,2.811,2203.087,2203.351,2051.222,2051.449
12,2.812,2002.851,2003.072,2092.049,2092.356
13,2.8129999999999997,1963.277,1963.515,2061.883,2062.13
14,2.814,2073.922,2074.177,2084.003,2084.278
15,2.815,2154.716,2154.981,2029.449,2029.719
16,2.816,2118.928,2119.151,2042.875,2043.134
17,2.8169999999999997,2077.217,2077.468,2039.253,2039.497
18,2.818,2116.95,2117.207,2029.064,2029.317
19,2.819,2183.984,2184.241,2114.592,2114.828
20,2.82,1959.807,1959.995,2084.037,2084.286
21,2.8209999999999997,2144.256,2144.522,2110.27,2110.528
22,2.822,2065.299,2065.536,2083.495,2083.761
23,2.823,2048.213,2048.451,2134.063,2134.311
24,2.824,1919.216,1919.431,2069.594,2069.862
25,2.8249999999999997,2148.757,2149.019,2090.983,2091.215
26,2.826,2183.66,2183.937,2020.743,2020.963
27,2.827,2130.13,2130.372,2050.627,2050.864
28,2.828,2178.879,2179.13,2006.457,2006.696
29,2.8289999999999997,2146.839,2147.109,2037.098,2037.337
30,2.83,2187.937,2188.198,2130.985,2131.22
31,2.831,2047.591,2047.834,2102.473,2102.691
32,2.832,1882.57,1882.819,2039.293,2039.549
33,2.8329999999999997,1931.847,1932.087,2116.631,2116.862
34,2.834,1990.222,1990.459,2002.617,2002.824
35,2.835,2104.195,2104.435,2105.159,2105.416
36,2.836,2047.369,2047.623,2083.037,2083.292
37,2.8369999999999997,2183.083,2183.356,2059.25,2059.476
38,2.838,2043.622,2043.846,2046.862,2047.088
39,2.839,2053.066,2053.308,2087.659,2087.918
40,2.84,1962.095,1962.309,2087.506,2087.75
41,2.8409999999999997,1944.431,1944.643,2010.107,2010.352
42,2.842,2019.166,2019.422,2102.95,2103.191
43,2.843,2102.667,2102.936,2086.927,2087.18
44,2.844,1970.454,1970.714,2075.258,2075.515
45,2.8449999999999998,2056.974,2057.251,2079.295,2079.543
46,2.846,1980.808,1981.05,2061.832,2062.072
47,2.847,2160.536,2160.802,2143.962,2144.219
48,2.848,2113.722,2113.986,2110.962,2111.222
49,2.8489999999999998,1959.376,1959.613,2063.85,2064.079
50,2.85,1993.374,1993.598,2024.458,2024.685
51,2.851,2075.96,2076.209,2039.697,2039.941
52,2.852,1971.321,1971.567,2070.657,2070.893
53,2.8529999999999998,2129.723,2130.006,2149.693,2149.928
54,2.854,2011.793,2012.025,2111.726,2111.967
55,2.855,1923.415,1923.645,1991.489,1991.709
56,2.856,2107.155,2107.423,2065.238,2065.478
57,2.8569999999999998,2268.533,2268.803,2055.58,2055.824
58,2.858,2064.879,2065.126,2122.929,2123.176
59,2.859,1884.865,1885.108,2048.724,2048.968
60,2.86,1958.436,1958.678,2084.075,2084.322
61,2.8609999999999998,2133.787,2134.029,1984.895,1985.12
62,2.862,1841.209,1841.438,2048.027,2048.286
63,2.863,2227.66,2227.928,2115.174,2115.415
64,2.864,1893.409,1893.65,1960.156,1960.392
65,2.8649999999999998,2138.88,2139.114,1983.63,1983.859
66,2.866,2041.015,2041.26,2054.217,2054.458
67,2.867,2087.246,2087.492,2034.402,2034.671
68,2.868,2026.188,2026.456,1888.681,1888.898
69,2.8689999999999998,2122.573,2122.805,1964.734,1964.947
70,2.87,2032.051,2032.301,2018.539,2018.8
71,2.871,2134.163,2134.389,2169.173,2169.423
72,2.872,1871.697,1871.939,2038.635,2038.894
73,2.873,2098.747,2098.978,2058.969,2059.218
74,2.874,1975.958,1976.216,1990.11,1990.381
75,2.875,1906.853,1907.049,2070.817,2071.063
76,2.876,1943.493,1943.745,2015.832,2016.07
77,2.877,2016.63,2016.861,2086.73,2087.014
78,2.878,2010.453,2010.696,2162.528,2162.78
79,2.879,2041.197,2041.413,1979.072,1979.329
80,2.88,2033.05,2033.276,1896.608,1896.846
81,2.8810000000000002,2088.408,2088.654,2109.254,2109.534
82,2.882,2150.138,2150.387,2012.709,2012.967
83,2.883,1959.286,1959.532,2025.343,2025.608
84,2.884,2115.294,2115.565,2154.733,2155.005
85,2.8850000000000002,2077.666,2077.931,2081.176,2081.427
86,2.886,1982.699,1982.94,2176.66,2176.915
87,2.887,1965.365,1965.597,2048.469,2048.683
88,2.888,2144.268,2144.541,1994.159,1994.388
89,2.8890000000000002,2245.368,2245.622,1806.98,1807.181
90,2.89,2086.98,2087.225,1955.342,1955.587
91,2.891,2155.443,2155.67,1987.103,1987.329
92,2.892,2010.315,2010.565,1998.644,1998.851
93,2.8930000000000002,2061.204,2061.468,2071.95,2072.201
94,2.894,2018.758,2019.01,2118.648,2118.896
95,2.895,2138.259,2138.498,1925.794,1926.055
96,2.896,2029.851,2030.088,2078.793,2079.024
97,2.8970000000000002,2011.33,2011.568,1908.366,1908.58
98,2.898,1985.067,1985.321,2151.464,2151.704
99,2.899,1923.618,1923.834,1940.244,1940.463
100,2.9,2039.997,2040.241,1956.917,1957.17
101,2.9010000000000002,1968.678,1968.923,2022.162,2022.382
102,2.902,2005.929,2006.158,2133.967,2134.202
103,2.903,2051.676,2051.913,2008.721,2008.979
104,2.904,2116.946,2117.205,2058.542,2058.807
105,2.9050000000000002,2119.081,2119.333,2118.63,2118.874
106,2.906,2033.13,2033.352,2062.558,2062.817
107,2.907,2054.378,2054.589,2120.483,2120.732
108,2.908,2058.975,2059.238,2072.882,2073.124
109,2.9090000000000003,2061.612,2061.854,2029.931,2030.175
110,2.91,2090.898,2091.134,2046.78,2047.026
111,2.911,2002.898,2003.133,2078.003,2078.278
112,2.912,2075.163,2075.439,1940.434,1940.705
113,2.9130000000000003,2025.715,2025.953,2109.218,2109.472
114,2.914,1974.319,1974.558,2122.65,2122.896
115,2.915,2040.367,2040.576,2146.223,2146.482
116,2.916,2011.102,2011.341,1986.913,1987.126
117,2.9170000000000003,2097.769,2098.012,2014.626,2014.881
118,2.918,2105.306,2105.535,1998.821,1999.057
119,2.919,2065.612,2065.866,2151.839,2152.073
120,2.92,2094.492,2094.751,1862.244,1862.471
121,2.9210000000000003,1981.142,1981.394,2137.365,2137.61
122,2.922,1946.502,1946.745,1950.073,1950.284
123,2.923,2010.364,2010.592,1974.737,1974.979
124,2.924,2051.664,2051.893,1954.729,1954.987
125,2.9250000000000003,2105.248,2105.501,1803.569,1803.77
126,2.926,2101.439,2101.713,1977.672,1977.922
127,2.927,1932.49,1932.738,1974.068,1974.272
128,2.928,1966.521,1966.736,2147.981,2148.247
129,2.9290000000000003,1816.347,1816.541,1987.524,1987.781
130,2.93,2042.694,2042.957,1902.861,1903.089
131,2.931,2075.03,2075.263,1985.152,1985.382
132,2.932,2131.444,2131.678,1981.009,1981.26
133,2.9330000000000003,2045.597,2045.859,1984.879,1985.096
134,2.934,2106.277,2106.516,1895.404,1895.619
135,2.935,2189.977,2190.225,2059.062,2059.305
136,2.936,2126.81,2127.042,1947.528,1947.759
137,2.9370000000000003,2167.936,2168.162,2060.83,2061.112
138,2.938,2020.786,2021.014,2028.385,2028.607
139,2.939,2068.005,2068.249,2016.729,2017.004
140,2.9400000000000004,2162.583,2162.842,2071.939,2072.214
141,2.9410000000000003,2112.789,2113.045,1932.195,1932.411
142,2.942,2003.948,2004.213,2021.781,2022.033
143,2.943,2061.297,2061.519,2045.589,2045.838
144,2.944,2049.375,2049.603,2104.069,2104.311
145,2.9450000000000003,1934.817,1935.07,2021.683,2021.912
146,2.946,1951.226,1951.464,2081.674,2081.931
147,2.947,1921.938,1922.176,2030.776,2031.017
148,2.9480000000000004,1908.267,1908.508,1857.677,1857.895
149,2.9490000000000003,2037.232,2037.482,2152.163,2152.425
150,2.95,1936.914,1937.133,2141.916,2142.153
