,Frequency,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1
0,2.8,2154.843,2155.083,2052.926,2053.178
1,2.8009999999999997,2009.101,2009.354,2117.737,2117.99
2,2.802,2092.624,2092.853,2074.0,2074.242
3,2.803,1931.8,1932.028,1904.84,1905.067
4,2.804,2036.083,2036.297,2182.503,2182.756
5,2.8049999999999997,2041.556,2041.867,2245.091,2245.391
6,2.806,1972.325,1972.57,2118.851,2119.096
7,2.807,2134.993,2135.243,2036.266,2036.552
8,2.808,2119.265,2119.521,2094.782,2095.035
9,2.8089999999999997,1983.182,1983.428,2068.364,2068.582
10,2.81,2108.478,2108.735,1963.338,1963.566
11,2.811,2032.041,2032.286,2023.178,2023.445
12,2.812,2043.23,2043.493,2032.297,2032.54
13,2.8129999999999997,2057.703,2057.97,1898.151,1898.386
14,2.814,2088.861,2089.108,2102.727,2102.993
15,2.815,2109.656,2109.91,2133.229,2133.499
16,2.816,2071.255,2071.526,2147.307,2147.579
17,2.8169999999999997,2003.279,2003.519,2108.119,2108.328
18,2.818,2084.328,2084.592,2046.535,2046.771
19,2.819,2079.248,2079.491,2119.459,2119.741
20,2.82,1955.056,1955.311,1999.209,1999.444
21,2.8209999999999997,2050.444,2050.718,2073.789,2074.028
22,2.822,2018.195,2018.441,2023.371,2023.629
23,2.823,2043.767,2044.035,2060.522,2060.758
24,2.824,2078.338,2078.562,2061.936,2062.186
25,2.8249999999999997,2100.112,2100.35,2200.001,2200.249
26,2.826,2061.735,2061.984,1902.022,1902.271
27,2.827,1920.359,1920.584,1949.429,1949.688
28,2.828,2084.811,2085.052,2042.483,2042.721
29,2.8289999999999997,2135.175,2135.433,1864.503,1864.707
30,2.83,2019.346,2019.584,1845.124,1845.355
31,2.831,1975.455,1975.694,2116.402,2116.663
32,2.832,1980.132,1980.35,2014.364,2014.635
33,2.8329999999999997,2104.127,2104.363,1965.454,1965.654
34,2.834,2018.916,2019.158,1945.779,1946.027
35,2.835,1946.135,1946.33,2128.386,2128.655
36,2.836,2126.969,2127.214,2056.721,2056.956
37,2.8369999999999997,2046.025,2046.243,1961.615,1961.822
38,2.838,2165.185,2165.457,2011.955,2012.185
39,2.839,2057.295,2057.545,1877.612,1877.831
40,2.84,2010.855,2011.094,2050.148,2050.384
41,2.8409999999999997,2133.666,2133.924,2032.286,2032.544
42,2.842,2064.564,2064.852,1982.301,1982.537
43,2.843,2079.698,2079.936,2073.771,2074.025
44,2.844,1983.111,1983.358,1935.279,1935.516
45,2.8449999999999998,1930.453,1930.708,2124.229,2124.467
46,2.846,2051.814,2052.092,2068.286,2068.523
47,2.847,2065.778,2066.023,1990.362,1990.577
48,2.848,2096.872,2097.103,1870.983,1871.207
49,2.8489999999999998,1918.768,1918.983,2056.574,2056.81
50,2.85,1993.187,1993.418,1992.124,1992.365
51,2.851,1934.218,1934.457,2049.737,2049.976
52,2.852,2043.212,2043.479,2015.501,2015.763
53,2.8529999999999998,1992.797,1993.018,2086.814,2087.057
54,2.854,2056.126,2056.395,2022.631,2022.88
55,2.855,1890.751,1890.969,2017.763,2017.96
56,2.856,2004.201,2004.417,2042.082,2042.31
57,2.8569999999999998,1982.213,1982.457,1991.676,1991.923
58,2.858,2017.512,2017.747,1936.892,1937.135
59,2.859,2040.45,2040.671,1960.677,1960.908
60,2.86,1982.159,1982.43,2139.779,2140.037
61,2.8609999999999998,2110.085,2110.341,2189.235,2189.507
62,2.862,2040.913,2041.161,1914.076,1914.323
63,2.863,2168.129,2168.367,2242.534,2242.814
64,2.864,2128.169,2128.421,1978.164,1978.394
65,2.8649999999999998,2124.822,2125.089,2213.322,2213.6
66,2.866,1886.244,1886.468,2286.679,2286.952
67,2.867,2033.196,2033.419,2064.419,2064.665
68,2.868,2060.544,2060.804,2090.352,2090.611
69,2.8689999999999998,2007.027,2007.264,2158.608,2158.855
70,2.87,2038.314,2038.568,2153.587,2153.853
71,2.871,2002.682,2002.908,1752.429,1752.692
72,2.872,2104.913,2105.2,2257.149,2257.404
73,2.873,2209.347,2209.598,2066.616,2066.847
74,2.874,1991.401,1991.633,1920.617,1920.844
75,2.875,2128.754,2129.005,1861.795,1862.024
76,2.876,1958.515,1958.773,1963.843,1964.062
77,2.877,2041.745,2041.997,2066.61,2066.862
78,2.878,2011.96,2012.188,1957.103,1957.343
79,2.879,2070.097,2070.365,2113.991,2114.229
80,2.88,1975.583,1975.81,1987.794,1987.997
81,2.8810000000000002,2013.183,2013.41,2005.068,2005.309
82,2.882,2090.676,2090.93,2031.996,2032.263
83,2.883,2044.499,2044.766,2066.425,2066.654
84,2.884,2057.857,2058.084,1995.757,1995.993
85,2.8850000000000002,2005.946,2006.185,2076.941,2077.198
86,2.886,2059.235,2059.469,2011.254,2011.478
87,2.887,1961.26,1961.502,1894.311,1894.548
88,2.888,1975.633,1975.865,2055.107,2055.359
89,2.8890000000000002,2042.741,2042.992,2071.796,2072.055
90,2.89,1961.178,1961.427,2034.384,2034.641
91,2.891,2079.993,2080.25,2016.492,2016.729
92,2.892,2101.385,2101.64,1975.901,1976.141
93,2.8930000000000002,2072.368,2072.619,2073.514,2073.776
94,2.894,2105.636,2105.867,2146.46,2146.712
95,2.895,2092.357,2092.589,2161.374,2161.628
96,2.896,2006.455,2006.716,2309.843,2310.105
97,2.8970000000000002,2067.319,2067.565,2116.627,2116.854
98,2.898,2012.45,2012.686,2058.913,2059.156
99,2.899,1986.531,1986.757,2064.195,2064.45
100,2.9,2032.277,2032.517,2169.137,2169.404
101,2.9010000000000002,2144.901,2145.143,1990.431,1990.662
102,2.902,2091.865,2092.115,2170.407,2170.651
103,2.903,2083.385,2083.632,2230.816,2231.061
104,2.904,2116.932,2117.19,2180.822,2181.093
105,2.9050000000000002,2018.3,2018.523,1984.666,1984.913
106,2.906,1972.674,1972.893,1955.808,1956.032
107,2.907,2058.846,2059.093,2065.847,2066.097
108,2.908,1975.115,1975.347,2143.973,2144.221
109,2.9090000000000003,2019.774,2020.027,2038.814,2039.064
110,2.91,2152.199,2152.482,2076.235,2076.468
111,2.911,2028.662,2028.904,1996.482,1996.718
112,2.912,2059.245,2059.467,1975.152,1975.373
113,2.9130000000000003,2076.364,2076.606,2028.008,2028.209
114,2.914,1976.856,1977.075,2021.668,2021.894
115,2.915,2021.847,2022.126,1911.273,1911.493
116,2.916,2102.301,2102.534,1621.817,1622.003
117,2.9170000000000003,2033.789,2034.054,2157.622,2157.885
118,2.918,2080.391,2080.632,2004.985,2005.23
119,2.919,2151.081,2151.343,2159.218,2159.474
120,2.92,2088.906,2089.154,2188.845,2189.113
121,2.9210000000000003,1959.278,1959.536,1858.681,1858.894
122,2.922,1846.18,1846.411,2237.404,2237.681
123,2.923,1846.357,1846.588,2036.646,2036.901
124,2.924,2031.961,2032.215,2246.626,2246.877
125,2.9250000000000003,2187.55,2187.792,2070.297,2070.559
126,2.926,2095.371,2095.616,1745.855,1746.072
127,2.927,2078.956,2079.177,1950.962,1951.225
128,2.928,2049.45,2049.669,2155.238,2155.473
129,2.9290000000000003,2097.386,2097.63,1875.97,1876.185
130,2.93,2105.111,2105.353,1979.33,1979.544
131,2.931,2003.508,2003.741,2051.964,2052.217
132,2.932,2054.317,2054.576,1999.313,1999.568
133,2.9330000000000003,2049.687,2049.954,1944.846,1945.105
134,2.934,2051.315,2051.556,2088.266,2088.501
