,Frequency,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2
0,2.8,36.858,38.121,36.092,38.616,36.207,37.681
1,2.8026666666666666,38.172,39.267,36.199,39.704,38.719,40.073
2,2.805333333333333,36.843,40.106,37.931,41.01,36.061,36.875
3,2.808,35.061,34.205,37.405,40.162,36.626,38.486
4,2.8106666666666666,37.378,39.719,38.679,38.854,37.167,39.091
5,2.813333333333333,37.752,39.406,38.082,41.019,37.727,40.046
6,2.816,38.659,39.921,38.247,40.3,35.596,39.723
7,2.8186666666666667,35.59,38.682,37.786,38.091,37.533,37.934
8,2.821333333333333,39.644,41.544,38.035,40.911,37.121,37.92
9,2.824,38.233,42.356,37.805,40.782,37.076,38.238
10,2.8266666666666667,35.305,37.213,36.576,39.77,38.044,39.555
11,2.829333333333333,37.564,40.471,36.236,37.347,38.099,40.655
12,2.832,38.812,41.844,37.533,40.061,38.904,39.929
13,2.8346666666666667,37.002,35.458,37.252,39.999,35.309,37.702
14,2.837333333333333,38.492,40.533,37.002,39.9,35.706,38.366
15,2.84,37.613,38.615,35.109,35.384,36.735,38.85
16,2.8426666666666667,35.195,35.762,34.69,37.47,35.357,37.287
17,2.845333333333333,35.009,37.068,35.81,36.475,38.955,40.772
18,2.848,36.987,39.704,33.181,37.194,34.105,36.842
19,2.8506666666666667,36.848,38.734,36.443,37.666,36.492,39.538
20,2.853333333333333,36.165,36.801,36.23,40.409,36.69,38.419
21,2.856,37.391,38.916,37.948,39.774,35.965,38.36
22,2.8586666666666667,37.993,40.257,39.207,40.318,38.527,39.757
23,2.861333333333333,37.327,37.62,38.203,39.563,38.876,40.59
24,2.864,39.033,39.296,37.847,39.569,35.837,36.93
25,2.8666666666666667,35.186,36.963,39.108,38.865,37.223,38.474
26,2.869333333333333,36.154,40.136,37.698,41.803,37.451,40.688
27,2.872,35.858,38.969,38.335,37.554,37.451,38.56
28,2.8746666666666667,38.403,39.965,37.3,38.966,38.669,40.652
29,2.877333333333333,37.228,38.207,35.74,36.286,37.114,39.772
30,2.88,36.867,38.832,38.822,39.676,38.188,39.665
31,2.8826666666666667,38.241,41.222,36.941,38.108,38.823,38.669
