,Frequency,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1
0,2.8,1066.1035,1066.2105,1059.121,1059.241
1,2.8009999999999997,1032.801,1032.924,1003.917,1004.0305
2,2.802,1026.329,1026.4555,1030.162,1030.2915
3,2.803,1032.0805,1032.1995,1041.973,1042.08
4,2.804,1063.166,1063.289,1018.705,1018.8275
5,2.8049999999999997,1037.781,1037.922,1070.87,1070.981
6,2.806,1051.673,1051.794,1063.617,1063.737
7,2.807,1028.8405,1028.9665,1009.9865,1010.101
8,2.808,1099.2565,1099.3815,1043.9115,1044.0445
9,2.8089999999999997,1100.165,1100.2835,1049.8795,1050.011
10,2.81,1051.633,1051.764,1087.9195,1088.045
11,2.811,1039.1385,1039.2795,1046.2095,1046.3305
12,2.812,1017.3065,1017.4345,1015.8575,1015.981
13,2.8129999999999997,1025.4555,1025.585,1046.2195,1046.3505
14,2.814,1101.9885,1102.1145,1034.7955,1034.912
15,2.815,998.1095,998.237,1039.095,1039.219
16,2.816,1066.512,1066.646,985.039,985.1475
17,2.8169999999999997,997.9485,998.0825,1010.7905,1010.91
18,2.818,1038.898,1039.0315,1001.5845,1001.6995
19,2.819,1002.513,1002.62,1001.4575,1001.5915
20,2.82,1044.2245,1044.355,1022.7035,1022.8335
21,2.8209999999999997,993.3645,993.475,1036.2015,1036.312
22,2.822,1060.5405,1060.6685,1020.785,1020.919
23,2.823,996.737,996.8515,1060.881,1061.0145
24,2.824,1047.911,1048.0325,1065.965,1066.0945
25,2.8249999999999997,1018.818,1018.927,1025.942,1026.069
26,2.826,1033.204,1033.3285,1019.728,1019.836
27,2.827,1017.888,1017.999,969.868,969.9865
28,2.828,1046.122,1046.246,1051.9355,1052.0615
29,2.8289999999999997,1067.2165,1067.3465,1087.5765,1087.696
30,2.83,995.7615,995.8815,989.667,989.7985
31,2.831,1055.7005,1055.823,996.0585,996.185
32,2.832,1029.671,1029.799,1017.302,1017.423
33,2.8329999999999997,1012.263,1012.381,1056.438,1056.5575
34,2.834,1028.7235,1028.86,1023.004,1023.1375
35,2.835,972.148,972.258,1002.4635,1002.5755
36,2.836,1026.3535,1026.4755,1021.304,1021.441
37,2.8369999999999997,1047.054,1047.178,1031.3425,1031.4625
38,2.838,1028.6615,1028.784,1011.373,1011.487
39,2.839,1042.323,1042.437,1025.291,1025.409
40,2.84,1059.58,1059.6935,1028.854,1028.976
41,2.8409999999999997,1046.754,1046.878,1011.038,1011.166
42,2.842,1047.9975,1048.12,984.186,984.3075
43,2.843,1076.836,1076.959,1063.42,1063.5415
44,2.844,1036.5865,1036.7005,1062.994,1063.119
45,2.8449999999999998,1005.3425,1005.463,1016.3715,1016.4885
46,2.846,1041.994,1042.1275,994.1575,994.278
47,2.847,1073.3645,1073.4885,1025.108,1025.2245
48,2.848,1050.4135,1050.538,1028.557,1028.6835
49,2.8489999999999998,1070.652,1070.78,989.7415,989.864
50,2.85,1076.737,1076.8535,992.393,992.5055
51,2.851,1042.772,1042.914,1044.3555,1044.474
52,2.852,1015.3505,1015.473,1023.3265,1023.4445
53,2.8529999999999998,1028.6615,1028.7875,1016.927,1017.0495
54,2.854,1003.8495,1003.9745,1039.801,1039.935
55,2.855,1050.665,1050.7875,1023.6745,1023.784
