,Frequency,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1
0,2.8,4.123,3.933,3.828,3.686
1,2.8009999999999997,3.83,4.56,4.041,3.945
2,2.802,4.239,3.811,4.121,3.958
3,2.803,4.271,4.291,4.259,3.728
4,2.804,4.113,3.913,3.51,4.085
5,2.8049999999999997,3.855,4.359,3.933,3.823
6,2.806,3.914,4.39,4.097,4.688
7,2.807,3.812,4.265,3.845,4.615
8,2.808,3.983,4.175,4.403,3.756
9,2.8089999999999997,4.159,4.834,3.993,3.773
10,2.81,4.083,3.638,4.074,4.267
11,2.811,3.924,4.04,4.158,3.611
12,2.812,3.94,4.399,3.683,3.864
13,2.8129999999999997,4.021,3.894,4.225,4.069
14,2.814,3.898,4.109,4.041,4.372
15,2.815,4.123,4.416,4.07,4.304
16,2.816,3.942,4.638,3.969,4.636
17,2.8169999999999997,4.099,3.214,3.736,3.839
18,2.818,3.964,3.759,3.741,3.914
19,2.819,3.909,4.421,3.585,3.882
20,2.82,3.75,4.293,4.306,4.093
21,2.8209999999999997,3.934,4.185,4.085,3.837
22,2.822,3.754,4.471,3.789,3.906
23,2.823,4.07,3.893,3.72,4.07
24,2.824,4.072,4.151,3.668,4.318
25,2.8249999999999997,4.009,4.241,3.95,4.769
26,2.826,3.94,4.093,3.901,3.649
27,2.827,3.866,4.86,4.081,4.46
28,2.828,3.956,4.101,4.081,4.368
29,2.8289999999999997,4.043,3.921,4.003,4.086
30,2.83,4.026,4.573,4.324,4.001
31,2.831,3.958,4.248,4.162,4.679
32,2.832,3.791,4.119,3.985,4.973
33,2.8329999999999997,3.944,4.04,4.001,3.893
34,2.834,3.879,3.984,3.936,4.29
35,2.835,3.845,4.121,3.978,4.933
36,2.836,3.966,4.572,4.04,4.066
37,2.8369999999999997,4.071,3.939,4.212,3.863
38,2.838,4.037,4.298,4.13,4.026
39,2.839,3.907,3.72,3.989,4.396
40,2.84,3.769,4.232,4.084,3.862
41,2.8409999999999997,4.044,4.616,3.937,4.367
42,2.842,3.851,4.796,4.14,3.701
43,2.843,4.056,4.518,3.788,4.106
44,2.844,4.193,3.981,4.073,4.557
45,2.8449999999999998,3.735,4.414,3.781,3.955
46,2.846,4.131,3.487,3.695,3.638
47,2.847,3.772,3.791,3.923,4.032
48,2.848,3.948,4.301,3.536,4.294
49,2.8489999999999998,3.727,4.261,3.476,3.873
50,2.85,3.85,4.5,4.124,3.958
51,2.851,3.835,4.298,4.182,4.148
52,2.852,3.605,4.359,4.121,4.721
53,2.8529999999999998,3.858,4.01,4.108,3.811
54,2.854,4.006,3.955,4.084,4.4
55,2.855,3.946,3.809,3.882,4.502
56,2.856,3.779,4.218,3.951,4.197
57,2.8569999999999998,3.833,4.106,4.116,4.332
58,2.858,3.882,3.813,3.858,3.967
59,2.859,3.922,3.707,3.966,4.352
60,2.86,3.676,4.518,3.909,4.633
61,2.8609999999999998,3.828,4.007,4.055,4.087
62,2.862,3.762,4.498,3.921,3.719
63,2.863,4.072,4.087,3.97,3.903
64,2.864,4.162,3.794,3.754,3.887
65,2.8649999999999998,3.768,3.966,3.766,4.103
66,2.866,3.921,4.347,3.98,3.881
67,2.867,4.003,3.899,4.019,3.836
68,2.868,4.147,4.282,3.656,4.08
69,2.8689999999999998,3.931,4.206,3.8,4.158
70,2.87,4.017,4.134,3.754,3.872
71,2.871,3.975,4.188,3.638,3.801
72,2.872,3.858,4.127,3.728,3.703
73,2.873,3.828,4.219,3.715,4.578
74,2.874,3.985,4.446,4.108,4.522
75,2.875,4.008,3.661,3.646,4.025
76,2.876,4.135,4.785,3.955,3.469
77,2.877,4.037,4.078,3.907,4.336
78,2.878,3.73,4.563,3.787,4.222
79,2.879,4.09,4.408,4.006,3.777
80,2.88,3.899,4.815,3.954,4.146
81,2.8810000000000002,3.833,4.108,3.852,4.621
82,2.882,3.962,4.123,4.049,4.036
83,2.883,4.018,4.295,3.847,4.127
84,2.884,4.014,4.146,3.784,4.271
85,2.8850000000000002,3.845,3.988,3.675,4.416
86,2.886,4.103,3.863,3.956,4.572
87,2.887,4.106,3.856,3.951,4.17
88,2.888,3.891,4.388,3.886,3.908
89,2.8890000000000002,3.503,4.543,3.88,4.136
90,2.89,4.005,4.002,3.799,4.314
91,2.891,4.007,4.02,3.651,4.794
92,2.892,4.008,4.543,3.869,4.213
93,2.8930000000000002,4.309,4.635,3.717,4.424
94,2.894,4.119,4.374,4.059,3.883
95,2.895,3.749,4.249,4.19,4.166
96,2.896,3.992,4.288,4.118,4.345
97,2.8970000000000002,4.173,4.162,4.079,4.339
98,2.898,4.021,4.378,4.075,4.274
99,2.899,4.068,4.247,3.896,4.491
100,2.9,3.984,3.797,3.924,4.013
101,2.9010000000000002,3.475,4.248,3.936,4.012
102,2.902,4.033,3.88,4.01,3.999
103,2.903,3.749,3.983,3.929,4.26
