,Frequency,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3
0,2.6,738.7264,767.2005,732.2779,763.5846,738.8643,770.4257,740.2256,771.0117
1,2.608,736.9725,767.49,736.2252,763.7697,739.2801,769.6125,739.7092,771.6761
2,2.616,735.6674,767.6207,740.8302,770.7589,737.2631,764.4218,739.942,770.2172
3,2.624,737.3262,769.4484,727.2364,762.1834,741.07,772.2447,740.0275,769.3292
4,2.632,733.9164,763.088,738.7744,767.8219,740.5573,772.5905,735.6793,764.3595
5,2.64,735.4766,765.5671,738.9788,772.6892,738.4536,769.567,737.5926,769.3137
6,2.648,736.1294,768.0119,734.1049,765.3461,736.8111,767.497,736.1555,765.9007
7,2.656,736.4525,767.3792,732.7892,766.8834,736.3626,770.4258,732.2305,762.5997
8,2.664,736.0865,765.8945,733.6056,765.8799,738.8192,768.9586,738.0339,768.1843
9,2.672,737.7219,766.1004,732.9502,765.6631,736.4998,767.6134,736.656,766.588
10,2.68,737.1008,766.8305,735.0385,764.529,736.9027,765.3068,736.7565,768.1989
11,2.688,735.859,765.2416,736.0962,769.2153,735.1317,764.8435,733.2188,763.5701
12,2.696,733.0282,761.3509,735.4034,766.4238,735.88,766.2784,733.8132,766.8682
13,2.704,729.5695,759.4664,735.361,767.8425,732.0663,761.2772,731.6031,760.0015
14,2.712,726.3112,762.1941,736.341,767.9159,733.2293,764.6647,733.4253,764.8115
15,2.72,719.0737,746.8111,728.1952,760.5121,737.6704,769.3738,734.2273,763.8324
16,2.728,728.8779,762.3534,732.7362,761.1025,734.178,769.4469,727.939,764.7733
17,2.736,734.5189,762.5924,720.4685,758.6569,728.035,759.3293,736.2469,766.2378
18,2.744,731.2128,762.9726,727.8413,760.1957,732.573,765.1438,725.6243,759.2156
19,2.7520000000000002,730.8586,758.272,731.0966,761.0682,735.2129,766.5067,723.901,751.3619
20,2.7600000000000002,724.2554,756.5062,726.1832,760.1413,725.9637,753.7787,724.9765,756.03
21,2.7680000000000002,725.5993,756.9564,734.8024,762.1339,731.859,762.6171,720.1617,744.7291
22,2.7760000000000002,729.311,762.0577,731.1403,761.5516,726.8551,757.8735,729.1667,760.7779
