,Frequency,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2
0,2.6,747.6938,777.7661,748.2286,780.5151,740.0396,774.1677
1,2.608,748.9518,779.4417,746.117,775.7927,741.3616,778.7804
2,2.616,736.9723,768.3693,746.2074,776.884,745.198,776.6325
3,2.624,741.4782,771.9202,749.5496,782.6381,746.3547,775.5818
4,2.632,743.2946,778.4964,747.4999,780.7888,744.8844,778.8994
5,2.64,743.3419,775.2671,745.692,774.6421,747.7986,781.101
6,2.648,748.3337,778.3342,748.5025,781.3132,740.4591,774.3582
7,2.656,740.9485,767.8806,747.2869,779.7855,748.1668,778.5037
8,2.664,738.0767,772.2243,746.967,775.8769,743.1172,767.7993
9,2.672,741.0435,770.4242,745.3989,778.1939,735.8363,769.7869
10,2.68,730.1497,769.0025,745.1534,774.2625,747.3417,784.8667
11,2.688,742.3455,769.4602,739.4089,767.4002,743.7266,776.8464
12,2.696,745.6123,780.3494,745.4491,779.9567,744.7544,774.5794
13,2.704,732.3551,760.2881,746.4677,779.84,744.9832,772.8462
14,2.712,737.6876,765.9344,744.3057,775.0489,746.515,778.005
15,2.72,741.9497,768.345,740.1359,771.4232,744.707,773.9411
16,2.728,744.4112,777.8707,744.6189,777.3026,740.383,769.1982
17,2.736,737.02,760.6108,737.4649,768.0858,744.6714,773.1742
18,2.744,741.9092,773.7268,740.3948,769.4155,740.0364,771.9274
19,2.7520000000000002,743.8664,772.9733,730.2711,769.7819,743.1339,770.2187
20,2.7600000000000002,740.5979,770.3608,738.9516,770.7987,729.4178,759.3687
21,2.7680000000000002,738.8449,771.027,739.9412,771.5304,737.3099,765.7157
22,2.7760000000000002,737.2654,767.578,741.0097,771.4867,737.4279,770.9424
23,2.7840000000000003,737.8774,770.393,738.7252,768.4841,740.1553,772.6209
24,2.792,735.6444,770.1348,740.5547,771.3165,738.9532,766.9509
25,2.8,739.1848,770.0547,739.6647,769.8613,739.807,770.85
26,2.808,736.8796,768.8617,740.533,767.604,735.9848,771.6484
27,2.816,735.1701,768.1201,742.5649,770.4039,740.5255,773.6967
28,2.824,738.3251,769.7172,740.6733,769.8841,739.1092,771.9775
29,2.832,740.6302,772.2765,734.7594,764.3483,737.0458,768.5445
30,2.84,740.2034,773.8783,736.8581,768.9498,737.868,770.057
31,2.848,739.6927,772.0648,735.7956,766.0965,731.4155,763.5112
32,2.856,734.9554,764.3867,734.237,767.5886,736.9793,768.1446
33,2.864,737.4945,766.9375,736.7481,767.9873,737.3777,770.4692
34,2.872,736.6091,767.3169,737.2921,769.1841,740.4424,770.4181
35,2.88,742.3393,773.0619,738.1157,774.5436,737.1503,771.9628
36,2.888,738.3848,769.2588,738.0698,769.7727,744.2981,773.8136
37,2.896,738.608,774.5305,738.923,772.8557,734.9922,766.7644
38,2.904,735.8643,770.5513,738.8906,769.5737,738.1941,768.6276
39,2.912,739.9007,774.2801,739.5161,772.6907,740.1745,770.5169
40,2.92,740.6796,772.1102,739.5616,770.4673,740.4096,771.4034
41,2.928,740.7127,776.2012,739.9143,771.3431,736.2588,763.7689
42,2.936,729.7512,756.0015,738.0175,771.3143,739.5175,771.9345
43,2.944,740.5764,773.5393,742.9885,775.589,743.8356,774.3158
44,2.952,738.6914,768.9459,742.4154,773.4316,741.8656,770.1328
45,2.96,718.161,759.2573,741.1781,772.1296,735.596,779.9248
46,2.968,739.7556,768.473,736.9597,768.0993,739.9117,771.9271
47,2.976,741.0071,772.9409,739.7028,772.293,737.722,765.5188
48,2.984,737.362,768.5661,740.709,771.0829,744.5473,776.523
49,2.992,740.6879,771.4757,744.0536,775.0249,736.3925,770.0178
50,3.0,740.7205,771.5883,744.7156,775.8669,745.2469,771.8293
51,3.008,746.0819,776.8789,741.7688,774.2087,741.3948,776.1338
52,3.016,741.9859,774.4844,740.764,772.3349,738.9336,770.0821
53,3.024,744.545,775.7324,739.2648,769.1165,738.9632,769.7187
54,3.032,744.7738,771.6623,741.9529,771.3854,741.2751,775.5758
55,3.04,739.7383,773.2446,742.0443,772.6796,744.6008,773.5406
56,3.048,744.3949,774.5613,744.5525,777.813,742.129,776.8604
57,3.056,735.5229,763.6644,745.0949,775.6506,736.6959,765.0967
58,3.064,741.2351,775.9296,742.081,774.1265,740.3609,767.2245
59,3.072,740.8568,774.6132,744.6916,777.3303,745.2258,776.6309
60,3.08,742.7958,771.2686,742.4698,773.9804,745.432,774.7065
61,3.088,741.3467,769.4364,743.0644,772.4519,745.6742,778.6241
62,3.096,740.6176,772.7208,746.6638,776.6561,739.1067,776.5181
63,3.104,739.5727,773.185,743.4453,778.7014,745.5375,778.1827
64,3.112,742.9972,769.7172,747.2,778.6856,744.9113,775.5179
65,3.12,743.8289,778.4626,747.5465,777.8431,742.9409,771.4425
66,3.128,739.7279,771.7182,740.7322,771.195,744.4912,774.5637
67,3.136,744.1908,771.4561,744.8732,776.6726,742.7052,776.3903
68,3.144,740.9275,773.9358,740.9376,771.7351,743.8876,776.8034
69,3.152,743.8531,775.6384,744.7751,775.9711,744.2849,776.3065
70,3.16,740.6759,771.6095,745.5058,779.6996,744.1818,777.378
71,3.168,746.1961,778.1123,744.476,775.931,742.1915,776.7158
72,3.176,746.066,779.2576,744.895,778.9136,743.9487,775.5033
73,3.184,746.9688,777.0452,746.6178,776.6215,743.8801,775.9563
