SpinCore Technologies, Inc. SpinAPI ver. 20171214
Logfile created: Tue Jul 12 18:40:35 2022

Markers: (I) info, (W) warning, (E) error.

================================================================================================
    TIME     FUNCTION                     MESSAGE                      
================================================================================================
(I) 18:40:35 pb_init:188                 Entering pb_init. cur_board = 0
(I) 18:40:35 os_count_boards:177         Registering WinDriver...
(I) 18:40:35 RegisterWinDriver:135       Using WinDriver version 1031.
(I) 18:40:35 RegisterWinDriver:151       lic.dwLicense:  0x2051dfc
(I) 18:40:35 RegisterWinDriver:152       lic.dwLicense2: 0x88
(I) 18:40:35 RegisterWinDriver:153       license setup succeeded
(I) 18:40:35 os_usb_count_devices:71     os_usb_count_devices: Enumerating USB Devices...
(I) 18:40:35 os_usb_count_devices:86     os_usb_count_devices: Enumeration Completed. Found 0 Devices.
(I) 18:40:35 pb_count_boards:144         pb_count_boards(): Detected 1 boards in your system.
(I) 18:40:35 do_os_init:1623             do_os_init: board # 0
(I) 18:40:35 do_os_init:1624             do_os_init: num_pci_boards: 1
(I) 18:40:35 do_os_init:1625             do_os_init: num_usb_devices: 0
(I) 18:40:35 do_os_init:1630             do_os_init: initializing pci
(I) 18:40:35 os_init:226                 card_num: 0
(I) 18:40:35 os_init:227                 PciScanCards found 1 SpinCore cards, 0 other cards.
(I) 18:40:35 os_init:228                 Found Product ID: 8878
(I) 18:40:35 os_init:235                 	PulseBlasterESR-PRO
(I) 18:40:35 os_init:235                 	PulseBlaster-24 (SP17)
(I) 18:40:35 os_init:235                 	PulseBlaster-16 (SP17)
(I) 18:40:35 os_init:235                 	PulseBlaster-12 (SP17)
(I) 18:40:35 get_caps:22                 dev_id=0x8878
(I) 18:40:35 get_caps:107                Detected PulseBlasterESR board (r 0x110b)
(I) 18:40:35 pb_start_programming:265    pb_start_programming (device=0)
(I) 18:40:35 pb_start_programming:328    pb_start_programming: reset
(I) 18:40:35 pb_outp:1551                pb_outp: addr 0, data 0. Using the direct protocol.
(I) 18:40:35 pb_outp:1551                pb_outp: addr 2, data a. Using the direct protocol.
(I) 18:40:35 pb_outp:1551                pb_outp: addr 3, data 0. Using the direct protocol.
(I) 18:40:35 pb_outp:1551                pb_outp: addr 4, data 0. Using the direct protocol.
(I) 18:40:35 pb_inst_pbonly64:856        pb_inst_pbonly: inst=0, inst_data=0,length=500.000000, flags=0x00000009
(I) 18:40:35 pb_inst_direct:1116         pb_inst_direct: OPCODE=0x0, flags=0x00000009, delay=247
(I) 18:40:35 pb_outp:1551                pb_outp: addr 6, data 0. Using the direct protocol.
(I) 18:40:35 pb_outp:1551                pb_outp: addr 6, data 0. Using the direct protocol.
(I) 18:40:35 pb_outp:1551                pb_outp: addr 6, data 9. Using the direct protocol.
(I) 18:40:35 pb_outp:1551                pb_outp: addr 6, data 0. Using the direct protocol.
(I) 18:40:35 pb_outp:1551                pb_outp: addr 6, data 0. Using the direct protocol.
(I) 18:40:35 pb_outp:1551                pb_outp: addr 6, data 0. Using the direct protocol.
(I) 18:40:35 pb_outp:1551                pb_outp: addr 6, data 0. Using the direct protocol.
(I) 18:40:35 pb_outp:1551                pb_outp: addr 6, data 0. Using the direct protocol.
(I) 18:40:35 pb_outp:1551                pb_outp: addr 6, data 0. Using the direct protocol.
(I) 18:40:35 pb_outp:1551                pb_outp: addr 6, data f7. Using the direct protocol.
(I) 18:40:35 pb_inst_pbonly64:856        pb_inst_pbonly: inst=0, inst_data=0,length=149500.000000, flags=0x00000001
(I) 18:40:35 pb_inst_direct:1116         pb_inst_direct: OPCODE=0x0, flags=0x00000001, delay=74747
(I) 18:40:35 pb_outp:1551                pb_outp: addr 6, data 0. Using the direct protocol.
(I) 18:40:35 pb_outp:1551                pb_outp: addr 6, data 0. Using the direct protocol.
(I) 18:40:35 pb_outp:1551                pb_outp: addr 6, data 1. Using the direct protocol.
(I) 18:40:35 pb_outp:1551                pb_outp: addr 6, data 0. Using the direct protocol.
(I) 18:40:35 pb_outp:1551                pb_outp: addr 6, data 0. Using the direct protocol.
(I) 18:40:35 pb_outp:1551                pb_outp: addr 6, data 0. Using the direct protocol.
(I) 18:40:35 pb_outp:1551                pb_outp: addr 6, data 0. Using the direct protocol.
(I) 18:40:35 pb_outp:1551                pb_outp: addr 6, data 1. Using the direct protocol.
(I) 18:40:35 pb_outp:1551                pb_outp: addr 6, data 23. Using the direct protocol.
(I) 18:40:35 pb_outp:1551                pb_outp: addr 6, data fb. Using the direct protocol.
(I) 18:40:35 pb_inst_pbonly64:856        pb_inst_pbonly: inst=0, inst_data=0,length=150000.000000, flags=0x00000003
(I) 18:40:35 pb_inst_direct:1116         pb_inst_direct: OPCODE=0x0, flags=0x00000003, delay=74997
(I) 18:40:35 pb_outp:1551                pb_outp: addr 6, data 0. Using the direct protocol.
