,Frequency
0,3.25
1,3.2505
2,3.251
3,3.2515
4,3.252
5,3.2525
6,3.253
7,3.2535
8,3.254
9,3.2545
10,3.255
11,3.2555
12,3.256
13,3.2565
14,3.257
15,3.2575
16,3.258
17,3.2585
18,3.259
19,3.2595
20,3.26
21,3.2605
22,3.261
23,3.2615
24,3.262
25,3.2625
26,3.263
27,3.2635
28,3.264
29,3.2645
30,3.265
31,3.2655
32,3.266
33,3.2664999999999997
34,3.267
35,3.2675
36,3.268
37,3.2685
38,3.269
39,3.2695
40,3.27
41,3.2704999999999997
42,3.271
43,3.2715
44,3.272
45,3.2725
46,3.273
47,3.2735
48,3.274
49,3.2744999999999997
50,3.275
51,3.2755
52,3.276
53,3.2765
54,3.2769999999999997
55,3.2775
56,3.278
57,3.2784999999999997
58,3.279
59,3.2795
60,3.28
61,3.2805
62,3.2809999999999997
63,3.2815
64,3.282
65,3.2824999999999998
66,3.283
67,3.2835
68,3.284
69,3.2845
70,3.2849999999999997
71,3.2855
72,3.286
73,3.2864999999999998
74,3.287
75,3.2875
76,3.288
77,3.2885
78,3.2889999999999997
79,3.2895
80,3.29
81,3.2904999999999998
82,3.291
83,3.2914999999999996
84,3.292
85,3.2925
86,3.2929999999999997
87,3.2935
88,3.294
89,3.2944999999999998
90,3.295
91,3.2954999999999997
92,3.296
93,3.2965
94,3.2969999999999997
95,3.2975
96,3.298
97,3.2984999999999998
98,3.299
99,3.2994999999999997
100,3.3
