,Frequency,Signal Run 0,Background Run 0
0,3.2,1.6967611919711627,1.696936974684041
1,3.201,1.74131597855707,1.7416313442144793
2,3.202,1.7362185252378222,1.7368061544516833
3,3.2030000000000003,1.6109619174943994,1.6107213249216366
4,3.204,1.6672431251744202,1.66702021084878
5,3.205,1.7115136079846325,1.711236784501145
6,3.206,1.6665439251517353,1.6673319179734731
7,3.2070000000000003,1.7115859136142877,1.710990476066323
8,3.208,1.736972099513656,1.736466521005227
9,3.209,1.6916792223294141,1.6918361400011592
10,3.21,1.7240365677090697,1.7239486138585791
11,3.2110000000000003,0.0,0.0
12,3.212,0.0,0.0
13,3.213,0.0,0.0
14,3.214,0.0,0.0
15,3.2150000000000003,0.0,0.0
16,3.216,0.0,0.0
17,3.217,0.0,0.0
18,3.218,0.0,0.0
19,3.2190000000000003,0.0,0.0
20,3.22,0.0,0.0
21,3.221,0.0,0.0
22,3.222,0.0,0.0
23,3.2230000000000003,0.0,0.0
24,3.224,0.0,0.0
25,3.225,0.0,0.0
26,3.226,0.0,0.0
27,3.227,0.0,0.0
28,3.228,0.0,0.0
29,3.229,0.0,0.0
30,3.23,0.0,0.0
31,3.231,0.0,0.0
32,3.232,0.0,0.0
33,3.233,0.0,0.0
34,3.234,0.0,0.0
35,3.235,0.0,0.0
36,3.236,0.0,0.0
37,3.237,0.0,0.0
38,3.238,0.0,0.0
39,3.239,0.0,0.0
40,3.24,0.0,0.0
41,3.241,0.0,0.0
42,3.242,0.0,0.0
43,3.243,0.0,0.0
44,3.244,0.0,0.0
45,3.245,0.0,0.0
46,3.246,0.0,0.0
47,3.247,0.0,0.0
48,3.248,0.0,0.0
49,3.249,0.0,0.0
50,3.25,0.0,0.0
51,3.251,0.0,0.0
52,3.252,0.0,0.0
53,3.253,0.0,0.0
54,3.254,0.0,0.0
55,3.255,0.0,0.0
56,3.256,0.0,0.0
57,3.257,0.0,0.0
58,3.258,0.0,0.0
59,3.259,0.0,0.0
60,3.26,0.0,0.0
61,3.261,0.0,0.0
62,3.262,0.0,0.0
63,3.263,0.0,0.0
64,3.264,0.0,0.0
65,3.265,0.0,0.0
66,3.266,0.0,0.0
67,3.267,0.0,0.0
68,3.268,0.0,0.0
69,3.269,0.0,0.0
70,3.27,0.0,0.0
71,3.271,0.0,0.0
72,3.272,0.0,0.0
73,3.273,0.0,0.0
74,3.274,0.0,0.0
75,3.275,0.0,0.0
76,3.276,0.0,0.0
77,3.277,0.0,0.0
78,3.278,0.0,0.0
79,3.279,0.0,0.0
80,3.28,0.0,0.0
81,3.2809999999999997,0.0,0.0
82,3.282,0.0,0.0
83,3.283,0.0,0.0
84,3.284,0.0,0.0
85,3.2849999999999997,0.0,0.0
86,3.286,0.0,0.0
87,3.287,0.0,0.0
88,3.288,0.0,0.0
89,3.2889999999999997,0.0,0.0
90,3.29,0.0,0.0
91,3.291,0.0,0.0
92,3.292,0.0,0.0
93,3.2929999999999997,0.0,0.0
94,3.294,0.0,0.0
95,3.295,0.0,0.0
96,3.296,0.0,0.0
97,3.2969999999999997,0.0,0.0
98,3.298,0.0,0.0
99,3.299,0.0,0.0
100,3.3,0.0,0.0
