,Duration
0,10.0
1,11.9
2,13.8
3,15.7
4,17.6
5,19.5
6,21.4
7,23.299999999999997
8,25.2
9,27.099999999999998
10,29.0
11,30.9
12,32.8
13,34.7
14,36.599999999999994
15,38.5
16,40.4
17,42.3
18,44.199999999999996
19,46.1
20,48.0
21,49.9
22,51.8
23,53.699999999999996
24,55.599999999999994
25,57.5
26,59.4
27,61.3
28,63.199999999999996
29,65.1
30,67.0
31,68.9
32,70.8
33,72.69999999999999
34,74.6
35,76.5
36,78.39999999999999
37,80.3
38,82.2
39,84.1
40,86.0
41,87.89999999999999
42,89.8
43,91.7
44,93.6
45,95.5
46,97.39999999999999
47,99.3
48,101.19999999999999
49,103.1
50,105.0
51,106.89999999999999
52,108.8
53,110.69999999999999
54,112.6
55,114.5
56,116.39999999999999
57,118.3
58,120.19999999999999
59,122.1
60,124.0
61,125.89999999999999
62,127.8
63,129.7
64,131.6
65,133.5
66,135.39999999999998
67,137.3
68,139.2
69,141.1
70,143.0
71,144.9
72,146.79999999999998
73,148.7
74,150.6
75,152.5
76,154.4
77,156.29999999999998
78,158.2
79,160.1
80,162.0
81,163.9
82,165.79999999999998
83,167.7
84,169.6
85,171.5
86,173.4
87,175.29999999999998
88,177.2
89,179.1
90,181.0
91,182.9
92,184.79999999999998
93,186.7
94,188.6
95,190.5
96,192.39999999999998
97,194.29999999999998
98,196.2
99,198.1
100,200.0
