,Frequency
0,2.8
1,2.8019999999999996
2,2.804
3,2.806
4,2.808
5,2.8099999999999996
6,2.812
7,2.814
8,2.816
9,2.8179999999999996
10,2.82
11,2.822
12,2.824
13,2.8259999999999996
14,2.828
15,2.83
16,2.832
17,2.8339999999999996
18,2.836
19,2.838
20,2.84
21,2.8419999999999996
22,2.844
23,2.846
24,2.848
25,2.8499999999999996
26,2.852
27,2.854
28,2.856
29,2.8579999999999997
30,2.86
31,2.862
32,2.864
33,2.8659999999999997
34,2.868
35,2.87
36,2.872
37,2.8739999999999997
38,2.876
39,2.878
40,2.88
41,2.8819999999999997
42,2.884
43,2.886
44,2.888
45,2.8899999999999997
46,2.892
47,2.894
48,2.896
49,2.8979999999999997
50,2.9
51,2.902
52,2.904
53,2.9059999999999997
54,2.908
55,2.91
56,2.912
57,2.9139999999999997
58,2.916
59,2.918
60,2.92
61,2.9219999999999997
62,2.924
63,2.926
64,2.928
65,2.9299999999999997
66,2.932
67,2.934
68,2.936
69,2.9379999999999997
70,2.94
71,2.942
72,2.944
73,2.9459999999999997
74,2.948
75,2.95
76,2.952
77,2.9539999999999997
78,2.956
79,2.958
80,2.96
81,2.9619999999999997
82,2.964
83,2.966
84,2.968
85,2.9699999999999998
86,2.972
87,2.974
88,2.976
89,2.9779999999999998
90,2.98
91,2.982
92,2.984
93,2.9859999999999998
94,2.988
95,2.99
96,2.992
97,2.9939999999999998
98,2.996
99,2.998
100,3.0
