,Frequency,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3
0,2.6,745.9142,777.8727,746.0682,780.2292,746.2291,777.8058,747.5332,777.4356
1,2.608,749.984,779.1073,743.6157,773.651,745.5129,777.7332,748.5349,776.6908
2,2.616,747.2713,781.6474,744.8664,773.6992,745.9841,780.115,742.849,772.6009
3,2.624,745.8637,776.0134,742.9015,772.4083,747.5425,778.9838,748.2338,778.2045
4,2.632,747.7178,779.9841,744.6574,774.3774,746.5068,778.6587,745.5155,775.7479
5,2.64,747.6969,776.9529,745.5202,774.5433,747.7659,779.4272,746.2169,779.032
6,2.648,741.5027,773.2951,745.4785,776.6038,745.7224,776.4415,738.3697,771.9918
7,2.656,746.1348,776.1288,742.9957,772.2839,746.2764,778.4482,746.6592,776.9892
8,2.664,747.9166,778.7519,743.4168,774.3671,744.7627,776.2699,744.9298,775.3211
9,2.672,748.486,780.8223,743.1926,771.4681,746.5558,776.3116,746.8583,777.8596
10,2.68,745.5556,779.6646,745.4756,777.0803,748.4573,778.9272,740.8577,773.0273
11,2.688,744.8882,776.9958,743.0543,776.011,744.7048,775.5462,740.3232,770.3192
12,2.696,747.8518,777.6624,743.1612,772.5628,744.8846,774.5473,737.2335,760.6276
13,2.704,747.0013,777.5559,741.1614,771.9296,741.6977,775.5763,733.8044,776.3234
14,2.712,744.3615,774.5171,743.6411,776.4202,741.4624,773.0965,743.4774,775.4747
15,2.72,743.3448,774.6805,741.3896,770.6683,742.5232,770.7019,741.3456,771.5814
16,2.728,742.2318,773.369,735.4087,762.1061,737.1879,767.6454,738.2026,771.6291
17,2.736,741.2703,772.8927,742.6266,771.9874,738.6613,770.658,736.9164,767.8956
18,2.744,738.798,768.023,741.3725,772.246,732.6589,762.6,738.368,767.9742
19,2.7520000000000002,741.6,772.9178,740.9681,772.4253,735.1261,765.6847,741.7115,772.2932
20,2.7600000000000002,737.4833,769.5314,736.9135,767.3242,736.0954,764.4781,737.0971,765.6928
21,2.7680000000000002,740.928,773.9534,733.8021,767.4504,742.3921,773.3445,735.9514,776.2799
22,2.7760000000000002,741.1194,772.7351,736.8283,769.1083,740.0609,771.2628,738.1777,766.458
23,2.7840000000000003,739.1527,771.2853,737.7187,769.0233,738.3441,770.1846,738.2421,761.0879
