,Frequency,Signal Run 0,Background Run 0
0,2.5,1.724,0.955
1,2.506,1.905,0.834
2,2.512,1.753,0.947
3,2.518,1.616,0.917
4,2.524,1.753,1.013
5,2.53,1.697,0.89
6,2.536,1.831,0.798
7,2.542,1.744,0.883
8,2.548,1.671,0.806
9,2.554,1.634,0.885
10,2.56,1.715,0.985
11,2.566,1.728,0.867
12,2.572,1.69,0.9
13,2.578,1.694,0.906
14,2.584,1.833,0.887
15,2.59,1.908,0.848
16,2.596,1.731,0.769
17,2.602,1.666,0.971
18,2.608,1.59,0.964
19,2.614,1.81,0.901
20,2.62,1.89,0.751
21,2.626,1.707,0.893
22,2.632,1.649,1.009
23,2.638,1.719,0.936
24,2.644,1.906,0.878
25,2.65,1.776,0.853
26,2.656,1.815,0.906
27,2.662,1.754,0.799
28,2.668,1.736,0.797
29,2.674,1.828,0.886
30,2.68,1.685,0.921
31,2.686,1.678,0.896
32,2.692,1.72,0.981
33,2.698,1.762,0.961
34,2.704,1.738,0.871
35,2.71,1.859,0.832
36,2.716,1.817,0.795
37,2.722,1.859,0.816
38,2.728,1.837,0.802
39,2.734,1.598,0.934
40,2.74,1.689,0.817
41,2.746,1.665,0.877
42,2.7520000000000002,1.806,0.821
43,2.758,1.812,0.748
44,2.7640000000000002,1.672,0.963
45,2.77,1.772,0.912
46,2.776,1.778,0.923
47,2.782,1.691,0.748
48,2.7880000000000003,1.744,0.898
49,2.794,1.725,0.775
50,2.8,1.731,0.891
51,2.806,1.787,0.882
52,2.8120000000000003,1.744,0.894
53,2.818,1.732,0.857
54,2.824,1.837,0.855
55,2.83,1.812,0.788
56,2.8360000000000003,1.69,0.864
57,2.842,1.71,0.941
58,2.848,1.718,0.839
59,2.854,1.707,0.947
60,2.86,1.687,0.769
61,2.866,1.749,0.834
62,2.872,1.754,0.899
63,2.878,1.747,0.873
64,2.884,1.795,0.84
65,2.89,1.733,0.87
66,2.896,1.785,0.9
67,2.902,1.655,0.937
68,2.908,1.817,0.935
69,2.914,1.753,0.92
70,2.92,1.785,0.849
71,2.926,1.823,0.998
72,2.932,1.806,0.883
73,2.938,1.804,0.759
74,2.944,1.732,0.839
75,2.95,1.751,0.89
76,2.956,1.861,0.809
77,2.962,1.735,0.853
78,2.968,1.636,1.041
79,2.974,1.797,0.929
80,2.98,1.794,0.953
81,2.986,1.7,0.915
82,2.992,1.766,0.942
83,2.998,1.847,0.836
84,3.004,1.7,0.947
85,3.0100000000000002,1.713,0.879
86,3.016,1.815,0.811
87,3.0220000000000002,1.654,0.902
88,3.028,2.463,1.25
89,3.0340000000000003,3.136,1.664
90,3.04,4.431,2.14
91,3.0460000000000003,5.079,2.45
92,3.052,5.192,2.414
93,3.058,5.249,2.655
94,3.064,5.052,2.477
95,3.0700000000000003,5.188,2.843
96,3.076,5.17,2.582
97,3.082,5.227,2.663
98,3.088,5.326,2.646
99,3.0940000000000003,5.099,2.54
100,3.1,5.323,2.538
