,Frequency,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1
0,2.8,3.966,4.533,3.859,3.997
1,2.8009999999999997,4.103,4.347,3.684,4.271
2,2.802,4.024,3.581,3.744,4.055
3,2.803,3.778,4.128,4.262,3.935
4,2.804,3.94,4.239,4.222,4.781
5,2.8049999999999997,3.532,3.851,4.031,4.381
6,2.806,4.03,3.962,4.184,4.004
7,2.807,4.027,4.227,3.78,4.594
8,2.808,3.959,3.973,3.88,4.044
9,2.8089999999999997,3.999,4.061,3.959,3.997
10,2.81,3.912,4.349,3.832,4.123
11,2.811,3.794,4.449,3.763,4.643
12,2.812,3.759,3.981,3.916,4.331
13,2.8129999999999997,4.164,4.005,4.067,4.131
14,2.814,4.13,4.023,3.931,4.465
15,2.815,4.184,3.762,4.104,4.49
16,2.816,4.19,3.908,4.304,4.054
17,2.8169999999999997,3.881,4.233,3.993,3.976
18,2.818,4.163,4.352,3.879,4.332
19,2.819,4.043,4.749,4.223,3.93
20,2.82,4.049,4.851,3.951,4.382
21,2.8209999999999997,4.045,4.301,4.179,4.496
22,2.822,4.362,3.754,4.132,3.886
23,2.823,3.949,4.431,4.19,3.935
24,2.824,3.873,4.604,4.008,4.225
25,2.8249999999999997,4.452,3.583,4.19,4.055
26,2.826,3.959,4.194,4.214,3.718
27,2.827,4.077,4.528,4.07,4.2
28,2.828,4.06,4.094,4.252,4.052
29,2.8289999999999997,3.923,3.684,3.957,3.971
30,2.83,3.998,3.869,4.102,4.244
31,2.831,4.269,4.344,4.054,4.221
32,2.832,4.21,4.433,3.984,4.389
33,2.8329999999999997,3.881,4.464,4.184,4.048
34,2.834,3.689,4.58,4.207,4.122
35,2.835,3.819,3.94,4.241,3.593
36,2.836,3.554,3.645,4.137,4.015
37,2.8369999999999997,4.56,4.311,3.902,4.415
38,2.838,4.25,4.265,3.918,4.158
39,2.839,3.775,4.337,4.01,4.141
40,2.84,4.084,4.259,4.041,4.21
41,2.8409999999999997,3.909,4.48,3.991,3.768
42,2.842,4.415,4.548,4.028,3.677
43,2.843,3.677,3.773,3.897,4.056
44,2.844,3.989,4.13,3.998,4.407
45,2.8449999999999998,4.225,4.357,3.812,4.483
46,2.846,3.325,3.232,4.175,3.873
47,2.847,4.012,3.941,3.841,4.65
48,2.848,3.944,4.241,4.028,4.331
49,2.8489999999999998,4.186,4.357,3.908,4.549
50,2.85,4.161,4.026,4.057,4.356
51,2.851,3.976,3.675,4.039,4.36
52,2.852,4.076,4.295,4.043,4.188
53,2.8529999999999998,3.972,4.442,3.912,3.999
54,2.854,3.855,4.612,3.941,4.351
55,2.855,4.129,4.486,4.033,4.467
56,2.856,4.077,4.287,4.011,4.189
57,2.8569999999999998,4.279,3.646,4.032,4.015
58,2.858,3.913,4.11,4.016,4.081
59,2.859,3.856,4.545,3.982,4.402
60,2.86,3.592,3.632,4.052,4.182
61,2.8609999999999998,3.957,4.108,4.211,4.053
62,2.862,4.128,4.26,3.835,4.448
