,Frequency,Signal Run 0,Background Run 0
0,3.0,0.046,0.036
1,3.003,0.055,0.048
2,3.006,0.048,0.047
3,3.009,0.044,0.05
4,3.012,0.039,0.042
5,3.015,0.046,0.046
6,3.018,0.033,0.033
7,3.021,0.049,0.047
8,3.024,0.039,0.046
9,3.027,0.042,0.049
10,3.03,0.045,0.033
11,3.033,0.05,0.038
12,3.036,0.046,0.034
13,3.039,0.037,0.045
14,3.042,0.046,0.036
15,3.045,0.041,0.04
16,3.048,0.046,0.035
17,3.051,0.05,0.038
18,3.054,0.033,0.041
19,3.057,0.025,0.024
20,3.06,0.031,0.026
21,3.063,0.039,0.034
22,3.066,0.027,0.036
23,3.069,0.033,0.041
24,3.072,0.026,0.037
25,3.075,0.029,0.034
26,3.078,0.027,0.024
27,3.081,0.03,0.043
28,3.084,0.033,0.023
29,3.0869999999999997,0.034,0.027
30,3.09,0.033,0.038
31,3.093,0.032,0.04
32,3.096,0.033,0.029
33,3.0989999999999998,0.029,0.031
34,3.102,0.04,0.036
35,3.105,0.033,0.042
36,3.108,0.032,0.022
37,3.1109999999999998,0.033,0.025
38,3.114,0.037,0.021
39,3.117,0.023,0.031
40,3.12,0.022,0.039
41,3.1229999999999998,0.028,0.03
42,3.126,0.028,0.03
43,3.129,0.019,0.02
44,3.132,0.032,0.027
45,3.135,0.019,0.033
46,3.138,0.029,0.027
47,3.141,0.031,0.034
48,3.144,0.035,0.034
49,3.147,0.034,0.036
50,3.15,0.041,0.055
51,3.153,0.041,0.04
52,3.1559999999999997,0.036,0.051
53,3.159,0.036,0.035
54,3.162,0.048,0.041
55,3.165,0.036,0.034
56,3.1679999999999997,0.036,0.033
57,3.171,0.037,0.043
58,3.174,0.026,0.052
59,3.177,0.048,0.057
60,3.1799999999999997,0.046,0.033
61,3.183,0.044,0.045
62,3.186,0.038,0.04
63,3.189,0.03,0.041
64,3.1919999999999997,0.04,0.05
65,3.195,0.037,0.029
66,3.198,0.037,0.034
67,3.201,0.041,0.057
68,3.2039999999999997,0.062,0.059
69,3.207,0.091,0.073
70,3.21,0.09,0.053
71,3.213,0.077,0.069
72,3.2159999999999997,0.095,0.066
73,3.219,0.17,0.148
74,3.222,0.152,0.133
75,3.2249999999999996,0.123,0.119
76,3.2279999999999998,0.127,0.148
77,3.231,0.15,0.124
78,3.234,0.128,0.13
79,3.237,0.121,0.146
80,3.2399999999999998,0.114,0.125
81,3.243,0.121,0.127
82,3.246,0.12,0.118
83,3.2489999999999997,0.1,0.119
84,3.252,0.124,0.124
85,3.255,0.111,0.099
86,3.258,0.111,0.105
87,3.2609999999999997,0.111,0.105
88,3.264,0.16,0.148
89,3.267,0.0,0.0
90,3.27,0.0,0.0
91,3.2729999999999997,0.0,0.0
92,3.276,0.0,0.0
93,3.279,0.0,0.0
94,3.282,0.0,0.0
95,3.2849999999999997,0.0,0.0
96,3.288,0.0,0.0
97,3.291,0.0,0.0
98,3.2939999999999996,0.0,0.0
99,3.2969999999999997,0.0,0.0
100,3.3,0.0,0.0
