,Frequency
0,3.01
1,3.0111
2,3.0122
3,3.0132999999999996
4,3.0143999999999997
5,3.0155
6,3.0166
7,3.0176999999999996
8,3.0187999999999997
9,3.0199
10,3.021
11,3.0221
12,3.0231999999999997
13,3.0242999999999998
14,3.0254
15,3.0265
16,3.0275999999999996
17,3.0286999999999997
18,3.0298
19,3.0309
20,3.032
21,3.0330999999999997
22,3.0342
23,3.0353
24,3.0364
25,3.0374999999999996
26,3.0385999999999997
27,3.0397
28,3.0408
29,3.0419
30,3.0429999999999997
31,3.0441
32,3.0452
33,3.0463
34,3.0474
35,3.0484999999999998
36,3.0496
37,3.0507
38,3.0518
39,3.0528999999999997
40,3.054
41,3.0551
42,3.0562
43,3.0573
44,3.0584
45,3.0595
46,3.0606
47,3.0617
48,3.0627999999999997
49,3.0639
50,3.065
51,3.0661
52,3.0672
53,3.0683
54,3.0694
55,3.0705
56,3.0716
57,3.0726999999999998
58,3.0738
59,3.0749
60,3.076
61,3.0771
62,3.0782
63,3.0793
64,3.0804
65,3.0815
66,3.0826
67,3.0837
68,3.0848
69,3.0859
70,3.087
71,3.0881
72,3.0892
73,3.0903
74,3.0914
75,3.0925
76,3.0936
77,3.0947
78,3.0958
79,3.0969
80,3.098
81,3.0991
82,3.1002
83,3.1013
84,3.1024000000000003
85,3.1035
86,3.1046
87,3.1057
88,3.1068000000000002
89,3.1079
90,3.109
91,3.1101
92,3.1112
93,3.1123000000000003
94,3.1134
95,3.1145
96,3.1156
97,3.1167000000000002
98,3.1178
99,3.1189
100,3.12
