,Frequency
0,3.5
1,3.5016
2,3.5032
3,3.5048
4,3.5064
5,3.508
6,3.5096
7,3.5112
8,3.5128
9,3.5144
10,3.516
11,3.5176
12,3.5192
13,3.5208
14,3.5224
15,3.524
16,3.5256
17,3.5272
18,3.5288
19,3.5304
20,3.532
21,3.5336
22,3.5352
23,3.5368
24,3.5384
25,3.54
26,3.5416
27,3.5432
28,3.5448
29,3.5464
30,3.548
31,3.5496
32,3.5512
33,3.5528
34,3.5544000000000002
35,3.556
36,3.5576
37,3.5592
38,3.5608
39,3.5624000000000002
40,3.564
41,3.5656
42,3.5672
43,3.5688
44,3.5704000000000002
45,3.572
46,3.5736
47,3.5752
48,3.5768
49,3.5784000000000002
50,3.58
51,3.5816
52,3.5832
53,3.5848
54,3.5864000000000003
55,3.588
56,3.5896
57,3.5912
58,3.5928
59,3.5944000000000003
60,3.596
61,3.5976
62,3.5992
63,3.6008
64,3.6024000000000003
65,3.604
66,3.6056
67,3.6072
68,3.6088
69,3.6104000000000003
70,3.612
71,3.6136
72,3.6152
73,3.6168
74,3.6184000000000003
75,3.62
76,3.6216
77,3.6232
78,3.6248
79,3.6264000000000003
80,3.628
81,3.6296
82,3.6312
83,3.6328
84,3.6344000000000003
85,3.636
86,3.6376
87,3.6392
88,3.6408
89,3.6424000000000003
90,3.644
91,3.6456
92,3.6472
93,3.6488
94,3.6504000000000003
95,3.652
96,3.6536
97,3.6552000000000002
98,3.6568
99,3.6584000000000003
100,3.66
