,Pulse Duration
0,1000.0
1,100990.0
2,200980.0
3,300970.0
4,400960.0
5,500950.0
6,600940.0
7,700930.0
8,800920.0
9,900910.0
10,1000900.0
11,1100890.0
12,1200880.0
13,1300870.0
14,1400860.0
15,1500850.0
16,1600840.0
17,1700830.0
18,1800820.0
19,1900810.0
20,2000800.0
21,2100790.0
22,2200780.0
23,2300770.0
24,2400760.0
25,2500750.0
26,2600740.0
27,2700730.0
28,2800720.0
29,2900710.0
30,3000700.0
31,3100690.0
32,3200680.0
33,3300670.0
34,3400660.0
35,3500650.0
36,3600640.0
37,3700630.0
38,3800620.0
39,3900610.0
40,4000600.0
41,4100590.0
42,4200580.0
43,4300570.0
44,4400560.0
45,4500550.0
46,4600540.0
47,4700530.0
48,4800520.0
49,4900510.0
50,5000500.0
51,5100490.0
52,5200480.0
53,5300470.0
54,5400460.0
55,5500450.0
56,5600440.0
57,5700430.0
58,5800420.0
59,5900410.0
60,6000400.0
61,6100390.0
62,6200380.0
63,6300370.0
64,6400360.0
65,6500350.0
66,6600340.0
67,6700330.0
68,6800320.0
69,6900310.0
70,7000300.0
71,7100290.0
72,7200280.0
73,7300270.0
74,7400260.0
75,7500250.0
76,7600240.0
77,7700230.0
78,7800220.0
79,7900210.0
80,8000200.0
81,8100190.0
82,8200180.0
83,8300170.0
84,8400160.0
85,8500150.0
86,8600140.0
87,8700130.0
88,8800120.0
89,8900110.0
90,9000100.0
91,9100090.0
92,9200080.0
93,9300070.0
94,9400060.0
95,9500050.0
96,9600040.0
97,9700030.0
98,9800020.0
99,9900010.0
100,10000000.0
