,Frequency
0,3.6
1,3.6006
2,3.6012
3,3.6018
4,3.6024000000000003
5,3.603
6,3.6036
7,3.6042
8,3.6048
9,3.6054
10,3.606
11,3.6066000000000003
12,3.6072
13,3.6078
14,3.6084
15,3.609
16,3.6096
17,3.6102000000000003
18,3.6108000000000002
19,3.6114
20,3.612
21,3.6126
22,3.6132
23,3.6138
24,3.6144000000000003
25,3.615
26,3.6156
27,3.6162
28,3.6168
29,3.6174
30,3.6180000000000003
31,3.6186000000000003
32,3.6192
33,3.6198
34,3.6204
35,3.621
36,3.6216
37,3.6222000000000003
38,3.6228000000000002
39,3.6234
40,3.624
41,3.6246
42,3.6252
43,3.6258
44,3.6264000000000003
45,3.6270000000000002
46,3.6276
47,3.6282
48,3.6288
49,3.6294
50,3.63
51,3.6306000000000003
52,3.6312
53,3.6318
54,3.6324
55,3.633
56,3.6336
57,3.6342000000000003
58,3.6348000000000003
59,3.6354
60,3.636
61,3.6366
62,3.6372
63,3.6378
64,3.6384000000000003
65,3.6390000000000002
66,3.6396
67,3.6402
68,3.6408
69,3.6414
70,3.6420000000000003
71,3.6426000000000003
72,3.6432
73,3.6438
74,3.6444
75,3.645
76,3.6456
77,3.6462000000000003
78,3.6468000000000003
79,3.6474
80,3.648
81,3.6486
82,3.6492
83,3.6498
84,3.6504000000000003
85,3.6510000000000002
86,3.6516
87,3.6522
88,3.6528
89,3.6534
90,3.654
91,3.6546000000000003
92,3.6552000000000002
93,3.6558
94,3.6564
95,3.657
96,3.6576
97,3.6582000000000003
98,3.6588000000000003
99,3.6594
100,3.66
