,Frequency
0,3.04
1,3.04075
2,3.0415
3,3.04225
4,3.043
5,3.04375
6,3.0445
7,3.0452500000000002
8,3.0460000000000003
9,3.04675
10,3.0475
11,3.04825
12,3.049
13,3.04975
14,3.0505
15,3.05125
16,3.052
17,3.05275
18,3.0535
19,3.05425
20,3.055
21,3.05575
22,3.0565
23,3.0572500000000002
24,3.0580000000000003
25,3.05875
26,3.0595
27,3.06025
28,3.061
29,3.06175
30,3.0625
31,3.06325
32,3.064
33,3.06475
34,3.0655
35,3.06625
36,3.067
37,3.06775
38,3.0685000000000002
39,3.0692500000000003
40,3.0700000000000003
41,3.0707500000000003
42,3.0715
43,3.07225
44,3.073
45,3.07375
46,3.0745
47,3.07525
48,3.076
49,3.07675
50,3.0775
51,3.07825
52,3.079
53,3.07975
54,3.0805000000000002
55,3.0812500000000003
56,3.0820000000000003
57,3.0827500000000003
58,3.0835000000000004
59,3.08425
60,3.085
61,3.08575
62,3.0865
63,3.08725
64,3.088
65,3.08875
66,3.0895
67,3.09025
68,3.091
69,3.09175
70,3.0925000000000002
71,3.0932500000000003
72,3.0940000000000003
73,3.0947500000000003
74,3.0955000000000004
75,3.0962500000000004
76,3.097
77,3.09775
78,3.0985
79,3.09925
80,3.1
81,3.10075
82,3.1015
83,3.10225
84,3.103
85,3.1037500000000002
86,3.1045000000000003
87,3.1052500000000003
88,3.1060000000000003
89,3.1067500000000003
90,3.1075000000000004
91,3.1082500000000004
92,3.109
93,3.10975
94,3.1105
95,3.11125
96,3.112
97,3.11275
98,3.1135
99,3.11425
100,3.115
