,Duration
0,1e-08
1,2.3355704697986577e-08
2,3.671140939597315e-08
3,5.0067114093959735e-08
4,6.34228187919463e-08
5,7.677852348993289e-08
6,9.013422818791946e-08
7,1.0348993288590603e-07
8,1.1684563758389261e-07
9,1.302013422818792e-07
10,1.435570469798658e-07
11,1.5691275167785235e-07
12,1.7026845637583893e-07
13,1.8362416107382552e-07
14,1.9697986577181207e-07
15,2.1033557046979866e-07
16,2.2369127516778524e-07
17,2.3704697986577183e-07
18,2.504026845637584e-07
19,2.63758389261745e-07
20,2.771140939597316e-07
21,2.904697986577181e-07
22,3.038255033557047e-07
23,3.171812080536913e-07
24,3.3053691275167786e-07
25,3.4389261744966444e-07
26,3.57248322147651e-07
27,3.706040268456376e-07
28,3.8395973154362414e-07
29,3.973154362416107e-07
30,4.106711409395973e-07
31,4.240268456375839e-07
32,4.373825503355705e-07
33,4.5073825503355706e-07
34,4.6409395973154364e-07
35,4.774496644295302e-07
36,4.908053691275168e-07
37,5.041610738255034e-07
38,5.1751677852349e-07
39,5.308724832214766e-07
40,5.442281879194631e-07
41,5.575838926174496e-07
42,5.709395973154362e-07
43,5.842953020134228e-07
44,5.976510067114094e-07
45,6.11006711409396e-07
46,6.243624161073825e-07
47,6.377181208053691e-07
48,6.510738255033557e-07
49,6.644295302013423e-07
50,6.777852348993289e-07
51,6.911409395973155e-07
52,7.04496644295302e-07
53,7.178523489932886e-07
54,7.312080536912752e-07
55,7.445637583892618e-07
56,7.579194630872483e-07
57,7.712751677852349e-07
58,7.846308724832214e-07
59,7.97986577181208e-07
60,8.113422818791946e-07
61,8.246979865771812e-07
62,8.380536912751678e-07
63,8.514093959731544e-07
64,8.647651006711409e-07
65,8.781208053691275e-07
66,8.914765100671141e-07
67,9.048322147651007e-07
68,9.181879194630873e-07
69,9.315436241610739e-07
70,9.448993288590604e-07
71,9.58255033557047e-07
72,9.716107382550335e-07
73,9.8496644295302e-07
74,9.983221476510067e-07
75,1.0116778523489931e-06
76,1.0250335570469798e-06
77,1.0383892617449663e-06
78,1.051744966442953e-06
79,1.0651006711409395e-06
80,1.0784563758389262e-06
81,1.0918120805369126e-06
82,1.1051677852348991e-06
83,1.1185234899328858e-06
84,1.1318791946308723e-06
85,1.145234899328859e-06
86,1.1585906040268455e-06
87,1.1719463087248321e-06
88,1.1853020134228186e-06
89,1.1986577181208053e-06
90,1.2120134228187918e-06
91,1.2253691275167785e-06
92,1.238724832214765e-06
93,1.2520805369127517e-06
94,1.2654362416107381e-06
95,1.2787919463087248e-06
96,1.2921476510067113e-06
97,1.3055033557046978e-06
98,1.3188590604026845e-06
99,1.332214765100671e-06
100,1.3455704697986576e-06
101,1.3589261744966441e-06
102,1.3722818791946308e-06
103,1.3856375838926173e-06
104,1.398993288590604e-06
105,1.4123489932885904e-06
106,1.4257046979865771e-06
107,1.4390604026845636e-06
108,1.4524161073825503e-06
109,1.4657718120805368e-06
110,1.4791275167785235e-06
111,1.49248322147651e-06
112,1.5058389261744964e-06
113,1.5191946308724831e-06
114,1.5325503355704696e-06
115,1.5459060402684563e-06
116,1.5592617449664428e-06
117,1.5726174496644294e-06
118,1.585973154362416e-06
119,1.5993288590604026e-06
120,1.612684563758389e-06
121,1.6260402684563758e-06
122,1.6393959731543623e-06
123,1.652751677852349e-06
124,1.6661073825503354e-06
125,1.6794630872483221e-06
126,1.6928187919463086e-06
127,1.7061744966442953e-06
128,1.7195302013422818e-06
129,1.7328859060402682e-06
130,1.746241610738255e-06
131,1.7595973154362414e-06
132,1.772953020134228e-06
133,1.7863087248322146e-06
134,1.7996644295302013e-06
135,1.8130201342281877e-06
136,1.8263758389261744e-06
137,1.839731543624161e-06
138,1.8530872483221476e-06
139,1.866442953020134e-06
140,1.8797986577181208e-06
141,1.8931543624161072e-06
142,1.906510067114094e-06
143,1.9198657718120806e-06
144,1.933221476510067e-06
145,1.9465771812080536e-06
146,1.95993288590604e-06
147,1.9732885906040265e-06
148,1.9866442953020134e-06
149,2e-06
