,Frequency
0,3.55
1,3.5511
2,3.5522
3,3.5532999999999997
4,3.5544
5,3.5555
6,3.5566
7,3.5576999999999996
8,3.5587999999999997
9,3.5599
10,3.561
11,3.5621
12,3.5631999999999997
13,3.5643
14,3.5654
15,3.5665
16,3.5675999999999997
17,3.5686999999999998
18,3.5698
19,3.5709
20,3.572
21,3.5730999999999997
22,3.5742
23,3.5753
24,3.5764
25,3.5774999999999997
26,3.5786
27,3.5797
28,3.5808
29,3.5819
30,3.5829999999999997
31,3.5841
32,3.5852
33,3.5863
34,3.5874
35,3.5885
36,3.5896
37,3.5907
38,3.5918
39,3.5928999999999998
40,3.594
41,3.5951
42,3.5962
43,3.5973
44,3.5984
45,3.5995
46,3.6006
47,3.6017
48,3.6028
49,3.6039
50,3.605
51,3.6061
52,3.6072
53,3.6083
54,3.6094
55,3.6105
56,3.6116
57,3.6127
58,3.6138
59,3.6149
60,3.616
61,3.6171
62,3.6182
63,3.6193
64,3.6204
65,3.6215
66,3.6226
67,3.6237
68,3.6248
69,3.6259
70,3.6270000000000002
71,3.6281
72,3.6292
73,3.6303
74,3.6314
75,3.6325
76,3.6336
77,3.6347
78,3.6358
79,3.6369000000000002
80,3.638
81,3.6391
82,3.6402
83,3.6413
84,3.6424000000000003
85,3.6435
86,3.6446
87,3.6457
88,3.6468000000000003
89,3.6479
90,3.649
91,3.6501
92,3.6512000000000002
93,3.6523000000000003
94,3.6534
95,3.6545
96,3.6556
97,3.6567000000000003
98,3.6578
99,3.6589
100,3.66
