,Frequency
0,3.6
1,3.6015
2,3.603
3,3.6045000000000003
4,3.606
5,3.6075
6,3.609
7,3.6105
8,3.612
9,3.6135
10,3.615
11,3.6165000000000003
12,3.618
13,3.6195
14,3.621
15,3.6225
16,3.624
17,3.6255
18,3.6270000000000002
19,3.6285000000000003
20,3.63
21,3.6315
22,3.633
23,3.6345
24,3.636
25,3.6375
26,3.6390000000000002
27,3.6405000000000003
28,3.642
29,3.6435
30,3.645
31,3.6465
32,3.648
33,3.6495
34,3.6510000000000002
35,3.6525
36,3.654
37,3.6555
38,3.657
39,3.6585
40,3.66
41,3.6615
42,3.6630000000000003
43,3.6645
44,3.666
45,3.6675
46,3.669
47,3.6705
48,3.672
49,3.6735
50,3.675
51,3.6765
52,3.678
53,3.6795
54,3.681
55,3.6825
56,3.684
57,3.6855
58,3.687
59,3.6885
60,3.69
61,3.6915
62,3.693
63,3.6945
64,3.696
65,3.6975000000000002
66,3.699
67,3.7005
68,3.702
69,3.7035
70,3.705
71,3.7065
72,3.708
73,3.7095000000000002
74,3.711
75,3.7125
76,3.714
77,3.7155
78,3.717
79,3.7185
80,3.72
81,3.7215
82,3.723
83,3.7245
84,3.726
85,3.7275
86,3.729
87,3.7305
88,3.732
89,3.7335
90,3.735
91,3.7365
92,3.738
93,3.7395
94,3.741
95,3.7425
96,3.7439999999999998
97,3.7455
98,3.747
99,3.7485
100,3.75
