,Frequency
0,3.088
1,3.08822
2,3.0884400000000003
3,3.08866
4,3.08888
5,3.0891
6,3.08932
7,3.08954
8,3.08976
9,3.08998
10,3.0902000000000003
11,3.09042
12,3.09064
13,3.09086
14,3.09108
15,3.0913
16,3.09152
17,3.09174
18,3.0919600000000003
19,3.09218
20,3.0924
21,3.09262
22,3.09284
23,3.09306
24,3.09328
25,3.0935
26,3.0937200000000002
27,3.09394
28,3.09416
29,3.09438
30,3.0946
31,3.09482
32,3.09504
33,3.09526
34,3.0954800000000002
35,3.0957
36,3.09592
37,3.09614
38,3.09636
39,3.09658
40,3.0968
41,3.09702
42,3.09724
43,3.09746
44,3.09768
45,3.0979
46,3.0981199999999998
47,3.09834
48,3.09856
49,3.09878
50,3.099
51,3.09922
52,3.09944
53,3.09966
54,3.0998799999999997
55,3.1001
56,3.10032
57,3.10054
58,3.10076
59,3.10098
60,3.1012
61,3.10142
62,3.1016399999999997
63,3.10186
64,3.10208
65,3.1023
66,3.10252
67,3.10274
68,3.10296
69,3.10318
70,3.1033999999999997
71,3.10362
72,3.10384
73,3.10406
74,3.10428
75,3.1045
76,3.10472
77,3.10494
78,3.1051599999999997
79,3.10538
80,3.1056
81,3.10582
82,3.10604
83,3.10626
84,3.10648
85,3.1067
86,3.1069199999999997
87,3.10714
88,3.10736
89,3.10758
90,3.1078
91,3.10802
92,3.10824
93,3.10846
94,3.1086799999999997
95,3.1088999999999998
96,3.10912
97,3.10934
98,3.10956
99,3.1097799999999998
100,3.11
