,Frequency
0,3.6
1,3.6020689655172413
2,3.604137931034483
3,3.606206896551724
4,3.6082758620689654
5,3.610344827586207
6,3.6124137931034483
7,3.6144827586206896
8,3.6165517241379312
9,3.6186206896551725
10,3.6206896551724137
11,3.6227586206896554
12,3.6248275862068966
13,3.626896551724138
14,3.6289655172413795
15,3.6310344827586207
16,3.6331034482758624
17,3.6351724137931036
18,3.637241379310345
19,3.6393103448275865
20,3.6413793103448278
21,3.643448275862069
22,3.6455172413793107
23,3.647586206896552
24,3.649655172413793
25,3.651724137931035
26,3.653793103448276
27,3.6558620689655172
28,3.657931034482759
29,3.66
