,Frequency
0,3.6
1,3.600120240480962
2,3.600240480961924
3,3.6003607214428857
4,3.600480961923848
5,3.6006012024048095
6,3.6007214428857717
7,3.6008416833667334
8,3.6009619238476955
9,3.6010821643286572
10,3.6012024048096194
11,3.601322645290581
12,3.6014428857715433
13,3.601563126252505
14,3.601683366733467
15,3.601803607214429
16,3.601923847695391
17,3.6020440881763527
18,3.602164328657315
19,3.6022845691382765
20,3.6024048096192387
21,3.6025250501002004
22,3.6026452905811626
23,3.6027655310621243
24,3.6028857715430864
25,3.603006012024048
26,3.6031262525050103
27,3.603246492985972
28,3.603366733466934
29,3.603486973947896
30,3.603607214428858
31,3.6037274549098197
32,3.603847695390782
33,3.6039679358717436
34,3.6040881763527053
35,3.6042084168336674
36,3.604328657314629
37,3.6044488977955913
38,3.604569138276553
39,3.604689378757515
40,3.604809619238477
41,3.604929859719439
42,3.6050501002004007
43,3.605170340681363
44,3.6052905811623246
45,3.6054108216432867
46,3.6055310621242485
47,3.6056513026052106
48,3.6057715430861723
49,3.6058917835671345
50,3.606012024048096
51,3.6061322645290583
52,3.60625250501002
53,3.606372745490982
54,3.606492985971944
55,3.606613226452906
56,3.6067334669338678
57,3.60685370741483
58,3.6069739478957916
59,3.6070941883767538
60,3.6072144288577155
61,3.6073346693386776
62,3.6074549098196393
63,3.6075751503006015
64,3.607695390781563
65,3.6078156312625254
66,3.607935871743487
67,3.6080561122244488
68,3.608176352705411
69,3.6082965931863726
70,3.608416833667335
71,3.6085370741482965
72,3.6086573146292587
73,3.6087775551102204
74,3.6088977955911825
75,3.609018036072144
76,3.6091382765531064
77,3.609258517034068
78,3.6093787575150302
79,3.609498997995992
80,3.609619238476954
81,3.609739478957916
82,3.609859719438878
83,3.6099799599198397
84,3.610100200400802
85,3.6102204408817635
86,3.6103406813627257
87,3.6104609218436874
88,3.6105811623246495
89,3.6107014028056112
90,3.6108216432865734
91,3.610941883767535
92,3.6110621242484973
93,3.611182364729459
94,3.611302605210421
95,3.611422845691383
96,3.611543086172345
97,3.6116633266533067
98,3.611783567134269
99,3.6119038076152306
100,3.6120240480961923
101,3.6121442885771544
102,3.612264529058116
103,3.6123847695390783
104,3.61250501002004
105,3.612625250501002
106,3.612745490981964
107,3.612865731462926
108,3.6129859719438877
109,3.61310621242485
110,3.6132264529058116
111,3.6133466933867737
112,3.6134669338677354
113,3.6135871743486976
114,3.6137074148296593
115,3.6138276553106214
116,3.613947895791583
117,3.6140681362725453
118,3.614188376753507
119,3.614308617234469
120,3.614428857715431
121,3.614549098196393
122,3.6146693386773547
123,3.614789579158317
124,3.6149098196392786
125,3.6150300601202408
126,3.6151503006012025
127,3.6152705410821646
128,3.6153907815631263
129,3.6155110220440885
130,3.61563126252505
131,3.6157515030060123
132,3.615871743486974
133,3.6159919839679358
134,3.616112224448898
135,3.6162324649298596
136,3.6163527054108218
137,3.6164729458917835
138,3.6165931863727456
139,3.6167134268537073
140,3.6168336673346695
141,3.616953907815631
142,3.6170741482965933
143,3.617194388777555
144,3.617314629258517
145,3.617434869739479
146,3.617555110220441
147,3.617675350701403
148,3.617795591182365
149,3.6179158316633266
150,3.618036072144289
151,3.6181563126252505
152,3.6182765531062127
153,3.6183967935871744
154,3.6185170340681365
