,Frequency
0,2.7
1,2.706
2,2.712
3,2.718
4,2.724
5,2.73
6,2.736
7,2.742
8,2.748
9,2.754
10,2.7600000000000002
11,2.766
12,2.7720000000000002
13,2.778
14,2.7840000000000003
15,2.79
16,2.7960000000000003
17,2.802
18,2.8080000000000003
19,2.814
20,2.8200000000000003
21,2.826
22,2.8320000000000003
23,2.838
24,2.8440000000000003
25,2.85
26,2.856
27,2.862
28,2.868
29,2.874
30,2.88
31,2.886
32,2.892
33,2.898
34,2.904
35,2.91
36,2.916
37,2.922
38,2.928
39,2.934
40,2.94
41,2.946
42,2.952
43,2.958
44,2.964
45,2.97
46,2.976
47,2.982
48,2.988
49,2.9939999999999998
50,3.0
51,3.0060000000000002
52,3.012
53,3.018
54,3.024
55,3.03
56,3.036
57,3.042
58,3.048
59,3.054
60,3.06
61,3.066
62,3.072
63,3.078
64,3.084
65,3.09
66,3.096
67,3.102
68,3.108
69,3.114
70,3.12
71,3.126
72,3.132
73,3.138
74,3.144
75,3.15
76,3.1559999999999997
77,3.162
78,3.168
79,3.174
80,3.1799999999999997
81,3.186
82,3.1919999999999997
83,3.198
84,3.2039999999999997
85,3.21
86,3.2159999999999997
87,3.222
88,3.2279999999999998
89,3.234
90,3.2399999999999998
91,3.246
92,3.252
93,3.258
94,3.264
95,3.27
96,3.276
97,3.282
98,3.288
99,3.2939999999999996
100,3.3
